elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.00001, 5.00001, 293, 17046, 74211.8, 26583, 76709, 1034916, 1070486, 1070486, 36
10.000505, 5.000495, 201, 17569, 76752.6, 28019, 79259, 1052270, 1056953, 1056953, 29
15.00045, 4.999945, 240, 17776, 88597.1, 29453, 99787, 1036708, 1062959, 1062959, 15
20.000262, 4.999812, 247, 14698, 89494.1, 30654, 103278, 1034739, 1073739, 1073739, 20
25.00028, 5.000018, 261, 17823, 107034.5, 28646, 1024001, 1058362, 1087462, 1087462, 32
30.000013, 4.999733, 229, 18161, 91846.0, 27231, 1021415, 1045384, 1087462, 1087462, 26
35.000306, 5.000293, 219, 15916, 117062.2, 27429, 1024873, 1045246, 1060984, 1060984, 22
40.00007, 4.999764, 214, 15916, 108427.7, 30152, 1024192, 1052159, 1073302, 1073302, 18
45.000288, 5.000218, 238, 16122, 116267.7, 26394, 1025854, 1060312, 1083419, 1083419, 13
50.001647, 5.001359, 238, 16956, 101344.8, 26927, 1024432, 1047036, 1067919, 1067919, 17
55.001634, 4.999987, 245, 14601, 109380.4, 27867, 1024432, 1047934, 1061839, 1061839, 20
60.000631, 4.998997, 220, 15755, 116181.8, 28812, 1024363, 1029968, 1063218, 1063218, 25
65.000596, 4.999965, 231, 14559, 93977.6, 26878, 1022544, 1029968, 1043891, 1043891, 19
70.000634, 5.000038, 246, 14559, 116508.1, 27471, 1024446, 1045536, 1050863, 1050863, 16
75.000634, 5.0, 229, 16611, 73864.1, 28061, 95599, 1030464, 1063184, 1063184, 26
80.000232, 4.999598, 235, 15293, 103098.3, 26965, 1023093, 1040352, 1062738, 1062738, 26
85.000628, 5.000396, 240, 16964, 94033.9, 30338, 1020467, 1042005, 1052069, 1052069, 17
90.000616, 4.999988, 269, 15657, 119792.6, 29434, 1024025, 1030292, 1076289, 1076289, 21
95.000483, 4.999867, 256, 13956, 103810.0, 27993, 1022866, 1044229, 1096883, 1096883, 29
100.000633, 5.00015, 263, 16682, 95342.4, 26597, 1023692, 1057177, 1096883, 1096883, 20
105.000631, 4.999998, 254, 15567, 106706.3, 27457, 1024555, 1060415, 1094959, 1094959, 17
110.000425, 4.999794, 241, 17913, 123255.8, 27847, 1025856, 1059753, 1088012, 1088012, 24
115.000159, 4.999734, 235, 17654, 102386.0, 27454, 1023567, 1055940, 1088012, 1088012, 19
120.000629, 5.00047, 245, 14325, 130511.8, 26440, 1023698, 1036924, 1060338, 1060338, 18
125.001631, 5.001002, 252, 15183, 105100.5, 29322, 1024288, 1048040, 1061982, 1061982, 16
130.000647, 4.999016, 245, 16185, 115835.3, 31588, 1025853, 1052105, 1059661, 1059661, 20
135.000585, 4.999938, 233, 14645, 104814.8, 28925, 1023316, 1042988, 1062300, 1062300, 15
140.001631, 5.001046, 240, 14645, 122798.4, 30326, 1024867, 1041233, 1060028, 1060028, 17
145.000629, 4.998998, 221, 16453, 140568.9, 32960, 1026512, 1042397, 1087669, 1087669, 16
150.000627, 4.999998, 242, 17047, 131822.6, 29584, 1025527, 1048935, 1089323, 1089323, 30
155.000439, 4.999812, 260, 17700, 99386.1, 28563, 1023137, 1042415, 1071655, 1071655, 23
160.001627, 5.001188, 256, 17306, 115937.5, 26805, 1025057, 1043008, 1063012, 1063012, 19
165.00015, 4.998523, 233, 12766, 108653.6, 28054, 1024255, 1035696, 1045296, 1045296, 17
170.001634, 5.001484, 253, 14433, 104944.5, 30614, 1024226, 1051612, 1068015, 1068015, 29
175.001046, 4.999412, 249, 15161, 118205.0, 30086, 1025682, 1053903, 1064061, 1064061, 25
180.000634, 4.999588, 245, 14864, 98228.2, 29696, 1023336, 1030383, 1059488, 1059488, 26
185.000168, 4.999534, 219, 14165, 113397.0, 29554, 1024591, 1043053, 1052149, 1052149, 28
190.00057, 5.000402, 244, 16586, 113476.9, 27221, 1024282, 1046739, 1058767, 1058767, 19
195.001511, 5.000941, 215, 16586, 132409.1, 31032, 1026403, 1046176, 1058201, 1058201, 20
200.000581, 4.99907, 240, 14997, 127499.5, 27899, 1025281, 1058201, 1071972, 1071972, 24
205.000602, 5.000021, 232, 16466, 116742.1, 26810, 1025868, 1040005, 1058381, 1058381, 28
210.000631, 5.000029, 232, 15934, 119563.5, 27683, 1026587, 1056913, 1089646, 1089646, 25
215.000281, 4.99965, 245, 13917, 93169.2, 26788, 1023520, 1058522, 1071284, 1071284, 18
220.000642, 5.000361, 234, 14607, 101688.5, 29495, 1022901, 1042810, 1071284, 1071284, 17
225.000611, 4.999969, 261, 15822, 113922.6, 27930, 1024572, 1038557, 1056462, 1056462, 17
230.000426, 4.999815, 224, 15822, 149641.6, 27070, 1025895, 1056462, 1083609, 1083609, 23
235.000506, 5.00008, 265, 12618, 119503.1, 30988, 1026212, 1050342, 1064135, 1064135, 19
240.00004, 4.999534, 243, 16180, 105415.8, 28316, 1023577, 1027992, 1057688, 1057688, 20
245.000484, 5.000444, 252, 14714, 120534.9, 28528, 1024168, 1030433, 1050837, 1050837, 20
250.001643, 5.001159, 232, 14084, 117959.3, 27053, 1027262, 1053395, 1060093, 1060093, 17
255.000635, 4.998992, 252, 13974, 119916.8, 27046, 1026260, 1040856, 1063208, 1063208, 19
260.000633, 4.999998, 264, 16603, 96005.2, 26375, 1019625, 1033679, 1059776, 1059776, 18
265.000067, 4.999434, 250, 15491, 104592.5, 28949, 1022633, 1057745, 1088441, 1088441, 22
