elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000036, 5.000036, 19019, 6133, 45944.6, 46243, 72418, 94934, 108799, 138062, 1718
10.000862, 5.000826, 18210, 6968, 46496.8, 46438, 74279, 96914, 109390, 138140, 1783
15.000013, 4.999151, 17906, 6397, 47086.7, 47118, 75649, 97847, 111778, 136029, 1771
20.000014, 5.000001, 18489, 6392, 46498.2, 46536, 75609, 97167, 111707, 156206, 1762
25.000011, 4.999997, 18639, 6346, 45911.8, 46004, 73153, 95655, 108655, 141377, 1749
30.000009, 4.999998, 18207, 5880, 46093.5, 46022, 73928, 96840, 112724, 140981, 1777
35.000214, 5.000205, 18073, 6026, 46339.2, 46162, 74836, 96255, 111120, 151504, 1829
40.000207, 4.999993, 18461, 6080, 46194.2, 46197, 73539, 96099, 110774, 141075, 1760
45.000074, 4.999867, 18420, 6570, 46115.1, 46066, 74434, 96108, 111735, 135501, 1746
50.000031, 4.999957, 18405, 6674, 46081.9, 46078, 74162, 96084, 111458, 153168, 1789
55.000007, 4.999976, 18772, 6046, 46074.3, 46076, 73300, 96276, 113771, 141664, 1726
60.000033, 5.000026, 18554, 6483, 46149.8, 46195, 73811, 96154, 112072, 139842, 1745
65.000113, 5.00008, 18268, 6483, 46282.3, 46231, 75540, 97423, 113772, 145065, 1765
70.000069, 4.999956, 18737, 6396, 45924.4, 45921, 74081, 96420, 109548, 145290, 1777
75.000015, 4.999946, 18425, 6401, 46188.9, 46166, 74212, 96782, 109424, 144258, 1737
80.00004, 5.000025, 18359, 5986, 46144.9, 46039, 74677, 97444, 113464, 142373, 1782
85.000884, 5.000844, 18549, 6073, 46089.6, 46190, 73328, 95563, 108607, 144391, 1786
90.000122, 4.999238, 18631, 6603, 46044.6, 46034, 73868, 96096, 112313, 139240, 1784
95.00005, 4.999928, 18335, 6384, 46019.3, 46034, 72829, 95397, 107989, 144466, 1805
100.000175, 5.000125, 18818, 5808, 45877.2, 45898, 71578, 95571, 111029, 138868, 1712
105.00035, 5.000175, 18564, 6058, 46206.2, 46135, 74248, 96751, 112828, 143351, 1770
110.000013, 4.999663, 18646, 6429, 46144.8, 46055, 74232, 96793, 113740, 152813, 1753
115.000457, 5.000444, 18807, 6291, 46079.1, 46047, 72968, 96365, 111387, 144488, 1773
120.000043, 4.999586, 18562, 6253, 46080.9, 46017, 74349, 97182, 115271, 139679, 1759
125.000465, 5.000422, 18508, 6257, 46217.1, 46279, 73696, 96328, 112695, 145660, 1743
130.000112, 4.999647, 17688, 6280, 46286.3, 46190, 74815, 96442, 112695, 136683, 1786
135.00002, 4.999908, 18730, 6140, 46207.7, 46234, 73595, 95807, 109242, 139956, 1805
140.000039, 5.000019, 17866, 6361, 46615.8, 46487, 75663, 96420, 106871, 132890, 1784
145.000143, 5.000104, 18461, 6093, 46114.8, 46029, 72956, 95839, 109293, 146556, 1785
150.001912, 5.001769, 18652, 6463, 46082.2, 46027, 74249, 97681, 117324, 142061, 1785
155.000018, 4.998106, 18670, 5880, 46175.7, 46242, 74130, 95994, 111657, 153220, 1753
160.000049, 5.000031, 18190, 6262, 46391.7, 46374, 75784, 96097, 112388, 139524, 1755
165.000076, 5.000027, 18302, 6242, 45924.0, 46189, 72168, 95633, 111799, 135236, 1755
170.000201, 5.000125, 18524, 5770, 46078.8, 46212, 73091, 95742, 112601, 130541, 1749
175.000024, 4.999823, 18410, 6633, 46107.2, 46226, 72779, 96118, 109876, 137382, 1797
180.000911, 5.000887, 18681, 6135, 45930.8, 46055, 72176, 94782, 109118, 136313, 1739
185.000051, 4.99914, 18780, 6471, 46336.1, 46396, 74062, 96836, 113585, 132998, 1729
190.000146, 5.000095, 18304, 6053, 46384.0, 46249, 75939, 96732, 110693, 133936, 1785
195.000201, 5.000055, 18139, 6854, 46485.4, 46391, 75665, 96893, 112220, 142423, 1734
200.000017, 4.999816, 18077, 6634, 46381.7, 46317, 74188, 96846, 112403, 146963, 1783
205.000021, 5.000004, 18685, 6128, 46309.4, 46295, 74065, 96542, 111466, 140354, 1755
210.000091, 5.00007, 18868, 5918, 46106.7, 46234, 72738, 96102, 110966, 132992, 1708
215.000171, 5.00008, 18539, 6697, 46275.1, 46359, 73961, 95198, 109588, 132095, 1729
220.000367, 5.000196, 18478, 6534, 46288.3, 46405, 73712, 95894, 112260, 150663, 1751
225.000303, 4.999936, 18751, 6575, 45991.4, 46067, 72784, 95515, 111474, 141876, 1760
230.000082, 4.999779, 18403, 6326, 46386.7, 46346, 75451, 97124, 111267, 132962, 1769
235.000385, 5.000303, 18215, 6605, 46151.7, 46139, 72911, 95702, 109451, 140853, 1748
240.000033, 4.999648, 18735, 6068, 46490.9, 46330, 74096, 96480, 109570, 135234, 1745
245.000697, 5.000664, 18700, 6405, 46534.1, 46501, 74880, 97094, 116030, 153794, 1739
250.000035, 4.999338, 17989, 7069, 46439.8, 46390, 75111, 96309, 117395, 138340, 1762
255.000032, 4.999997, 18781, 6395, 46395.0, 46495, 74321, 96493, 112364, 131893, 1738
260.00001, 4.999978, 18359, 6488, 46342.2, 46369, 73952, 95585, 111096, 151447, 1789
265.000039, 5.000029, 18440, 5992, 46487.3, 46441, 75042, 95677, 110214, 142700, 1727
270.000016, 4.999977, 18690, 6375, 46232.0, 46412, 72398, 95406, 113377, 147718, 1765
275.000016, 5.0, 18010, 6025, 46367.3, 46319, 75214, 96392, 110240, 139709, 1767
280.000807, 5.000791, 18795, 6582, 46385.8, 46335, 74424, 96682, 112390, 131597, 1772
285.000024, 4.999217, 18870, 6258, 46269.0, 46355, 73247, 96764, 110414, 147451, 1720
290.000009, 4.999985, 18142, 6548, 46312.2, 46478, 73736, 96065, 108576, 146286, 1757
295.000246, 5.000237, 18216, 6563, 46548.0, 46421, 76318, 96429, 109479, 140678, 1794
300.000228, 4.999982, 18814, 6673, 46600.1, 46620, 75196, 97229, 112346, 135798, 1734
301.018783, 1.018555, 3619, 6673, 46522.9, 46612, 73917, 96583, 110934, 133045, 357
