elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000006, 5.000006, 27101, 4338, 30839.6, 30760, 49809, 56501, 66195, 87794, 4288
10.000026, 5.00002, 21671, 3374, 30630.6, 30475, 49830, 55816, 66187, 86747, 4625
15.000026, 5.0, 22709, 3828, 30505.4, 30266, 49501, 55195, 61108, 69426, 5225
20.000019, 4.999993, 23686, 2749, 30470.5, 30434, 49295, 54786, 60849, 65799, 5248
25.000012, 4.999993, 22610, 3913, 30514.7, 30246, 49630, 55801, 61491, 82314, 5248
30.001585, 5.001573, 22745, 3114, 30599.9, 30467, 49593, 55124, 60664, 66849, 5212
35.000051, 4.998466, 22366, 4653, 30599.2, 30526, 49554, 55253, 61728, 66838, 5252
40.000068, 5.000017, 22464, 3437, 30590.2, 30548, 49658, 55639, 61397, 74951, 5304
45.000047, 4.999979, 22917, 4091, 30625.6, 30388, 49654, 55205, 61099, 76545, 5437
50.000193, 5.000146, 22685, 4372, 30643.1, 30424, 49693, 55330, 62023, 75662, 5497
55.000022, 4.999829, 22518, 4762, 30628.9, 30421, 49686, 55296, 61866, 66400, 5297
60.001321, 5.001299, 23371, 4851, 30653.7, 30679, 49296, 54580, 60782, 69303, 5382
65.000021, 4.9987, 22733, 2678, 30669.1, 30560, 49468, 54861, 60963, 66135, 5302
70.000484, 5.000463, 22473, 3567, 30671.1, 30606, 49576, 55577, 61716, 66898, 5355
75.000013, 4.999529, 22473, 4668, 30666.0, 30604, 49558, 55393, 61338, 72727, 5285
80.000017, 5.000004, 22742, 4757, 30801.2, 30601, 49810, 55249, 60983, 66699, 5316
85.000016, 4.999999, 22989, 4279, 30670.0, 30454, 49669, 55685, 61047, 67234, 5275
90.000017, 5.000001, 22548, 3168, 30768.6, 30567, 49803, 55673, 61730, 73696, 5345
95.000369, 5.000352, 23153, 3330, 30767.8, 30588, 49781, 55544, 61665, 69823, 5382
100.000128, 4.999759, 23412, 4471, 30800.3, 30604, 49744, 55420, 61582, 66435, 5410
105.000256, 5.000128, 23300, 3698, 30816.7, 30537, 49810, 55427, 61501, 68321, 5431
110.000098, 4.999842, 22980, 4556, 30979.3, 30838, 50031, 55568, 61731, 67257, 5443
115.000014, 4.999916, 23497, 3774, 30968.7, 30870, 50129, 55736, 62485, 68591, 5468
120.000585, 5.000571, 23359, 5192, 30835.1, 30643, 49725, 55652, 62337, 69894, 5429
125.000389, 4.999804, 23041, 2813, 31259.9, 31233, 49960, 55954, 61736, 69678, 5453
130.000018, 4.999629, 23184, 4328, 31261.1, 31086, 50664, 56294, 62717, 70371, 5445
135.000017, 4.999999, 23935, 4551, 31594.9, 31485, 51007, 57359, 66500, 85106, 5821
140.000142, 5.000125, 25117, 4070, 31923.8, 31769, 51375, 58165, 65810, 75353, 5917
145.000028, 4.999886, 24999, 4930, 31986.2, 31945, 51516, 58116, 67940, 80701, 5918
150.000077, 5.000049, 24839, 4547, 31937.2, 31787, 51571, 58625, 66819, 78611, 5880
155.000455, 5.000378, 24109, 4068, 32014.8, 31892, 51839, 58965, 69052, 90569, 5942
160.000027, 4.999572, 23944, 3732, 32218.2, 32012, 52239, 59552, 69011, 78325, 5792
165.000013, 4.999986, 23756, 3114, 32264.4, 32201, 52261, 59928, 71810, 105353, 5736
170.000088, 5.000075, 23281, 3154, 32351.5, 32075, 52324, 59751, 70769, 91013, 5564
175.000121, 5.000033, 23424, 5078, 32243.9, 32108, 52423, 60344, 74268, 108043, 5628
180.000149, 5.000028, 23324, 4795, 32607.4, 32472, 52587, 60947, 72548, 86976, 5597
181.022824, 1.022675, 4676, 5482, 32560.9, 32442, 52671, 61329, 72844, 86253, 1150
