elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000143, 5.000143, 37241, 494, 15339.0, 19749, 24418, 30955, 35847, 40842, 0
10.000264, 5.000121, 34425, 457, 15386.0, 19773, 25777, 31354, 36210, 41952, 0
15.000752, 5.000488, 34094, 370, 15427.8, 19754, 26087, 32038, 37190, 42338, 0
20.000905, 5.000153, 34197, 659, 15374.9, 19795, 25279, 31375, 36857, 44770, 0
25.000206, 4.999301, 33944, 587, 15405.0, 19807, 25642, 31601, 36459, 44375, 0
30.00016, 4.999954, 34141, 581, 15466.5, 19865, 26138, 31401, 36410, 42857, 0
35.000431, 5.000271, 34505, 233, 15397.0, 19798, 25046, 30939, 35637, 44601, 0
40.000081, 4.99965, 34252, 352, 15356.1, 19781, 24413, 31118, 36173, 40421, 0
45.00004, 4.999959, 33666, 547, 15366.0, 19750, 25840, 31347, 35833, 39335, 0
50.00002, 4.99998, 33894, 537, 15457.1, 19807, 25609, 31600, 37189, 43199, 0
55.000031, 5.000011, 34104, 417, 15358.2, 19787, 25276, 31612, 36669, 45852, 0
60.000771, 5.00074, 33832, 578, 15426.4, 19763, 25928, 31572, 36038, 44160, 0
65.00031, 4.999539, 34216, 367, 15403.0, 19779, 25489, 31196, 36260, 43821, 0
70.000213, 4.999903, 34216, 609, 15381.8, 19792, 24610, 31389, 35785, 43470, 0
75.000019, 4.999806, 34486, 527, 15380.1, 19787, 25546, 31476, 36133, 44407, 0
80.000041, 5.000022, 34184, 579, 15375.2, 19817, 25418, 31736, 36227, 52799, 0
85.000012, 4.999971, 34087, 435, 15321.9, 19775, 24782, 31088, 35868, 47091, 0
90.000781, 5.000769, 34241, 531, 15397.1, 19812, 25459, 31477, 36484, 43977, 0
95.000316, 4.999535, 33887, 569, 15415.1, 19811, 24913, 31731, 36086, 44694, 0
100.000104, 4.999788, 34080, 642, 15411.4, 19787, 25969, 31512, 36852, 51191, 0
105.000019, 4.999915, 33972, 657, 15482.4, 19818, 25986, 31479, 36147, 40510, 0
110.000843, 5.000824, 34352, 826, 15439.4, 19789, 25770, 31009, 34826, 43155, 0
115.00001, 4.999167, 33747, 594, 15354.0, 19752, 25570, 31731, 39220, 46384, 0
120.00008, 5.00007, 34399, 482, 15397.9, 19825, 25858, 31099, 35924, 43796, 0
125.000025, 4.999945, 34164, 443, 15458.5, 19840, 26383, 31161, 35540, 41406, 0
130.00001, 4.999985, 33841, 404, 15533.3, 19836, 25929, 31673, 36536, 42481, 0
135.000011, 5.000001, 33612, 364, 15365.1, 19799, 25107, 31196, 35201, 39053, 0
