elapsed, window, n, min, mean, max, errors
5.000069, 5.000069,1624247, 5289,25895.2, 60809,0
10.000791, 5.000722,1398269, 5349,25865.6, 64431,0
15.000947, 5.000156,1379089, 5370,25877.1, 63433,0
20.000078, 4.999131,1385300, 5320,25900.2, 71161,0
25.000708, 5.00063,1378904, 5327,25934.9, 67592,0
30.000179, 4.999471,1391452, 5367,25922.9, 73730,0
35.000042, 4.999863,1379112, 5325,25910.6, 75367,0
40.000117, 5.000075,1387509, 5355,25856.8, 73199,0
45.000008, 4.999891,1374297, 5341,25989.5, 74661,0
50.000837, 5.000829,1388368, 5350,25899.8, 70468,0
55.000011, 4.999174,1376796, 5379,25944.8, 72195,0
60.000793, 5.000782,1391202, 5327,26027.5, 74486,0
65.000443, 4.99965,1382282, 5305,25868.6, 67683,0
70.000536, 5.000093,1378821, 5335,25987.3, 82690,0
75.00011, 4.999574,1379568, 5331,25882, 73223,0
80.000037, 4.999927,1378222, 5406,25915.6, 75046,0
85.000196, 5.000159,1375006, 5315,25907.6, 76417,0
90.000256, 5.00006,1384189, 5319,25925.1, 73841,0
95.000207, 4.999951,1387691, 5329,25836.4, 63833,0
100.000088, 4.999881,1380650, 5379,25841, 76555,0
105.00181, 5.001722,1379430, 5393,25974.3, 76155,0
110.000175, 4.998365,1391456, 5341,25872.5, 69461,0
115.00031, 5.000135,1372550, 5384,25976.5, 74211,0
120.000208, 4.999898,1381646, 5304,25894.6, 68870,0
125.000139, 4.999931,1378747, 5333,25892.3, 67660,0
130.000094, 4.999955,1380384, 5322,25901.2, 68091,0
135.001502, 5.001408,1378655, 5289,25893.8, 69536,0
140.000299, 4.998797,1380875, 5331,25908.2, 72887,0
145.000047, 4.999748,1375094, 5306,25916.7, 77038,0
150.000108, 5.000061,1393149, 5338,25921.7, 67503,0
155.000092, 4.999984,1374955, 5356,25961.3, 67217,0
160.000006, 4.999914,1379055, 5347,25966.2, 73928,0
165.000014, 5.000008,1373346, 5312,25990.6, 72121,0
170.000512, 5.000498,1386259, 5304,25959.2, 72515,0
175.000316, 4.999804,1381643, 5317,25923.6, 65276,0
180.000232, 4.999916,1384384, 5323,25919.9, 68198,0
185.000042, 4.99981,1379294, 5365,25937.3, 81449,0
190.000793, 5.000751,1387097, 5382,25891, 70236,0
195.000078, 4.999285,1371244, 5317,25958.2, 75927,0
200.000014, 4.999936,1378938, 5298,26021.1, 73267,0
205.001557, 5.001543,1376907, 5303,25948.2, 71427,0
210.000088, 4.998531,1382589, 5326,25929.5, 76037,0
215.000167, 5.000079,1381701, 5321,25913.4, 73449,0
220.000156, 4.999989,1380483, 5326,25907.6, 74317,0
225.000022, 4.999866,1378417, 5310,25884.2, 69500,0
230.000039, 5.000017,1387300, 5369,25917.7, 69648,0
235.00181, 5.001771,1381051, 5349,25835.7, 75305,0
240.000159, 4.998349,1381735, 5305,25944.5, 67548,0
245.000029, 4.99987,1379771, 5376,26041.4, 72853,0
250.000056, 5.000027,1383010, 5318,25946.4, 71998,0
255.000145, 5.000089,1377710, 5295,25910, 73904,0
260.000021, 4.999876,1374056, 5352,25941.9, 77575,0
265.000049, 5.000028,1376367, 5323,25942.4, 79801,0
270.00002, 4.999971,1379733, 5319,25942.6, 75645,0
275.000055, 5.000035,1376641, 5326,25965.4, 69076,0
280.000409, 5.000354,1379066, 5255,25911.8, 65290,0
285.000125, 4.999716,1379470, 5346,25900.1, 75481,0
290.000289, 5.000164,1375757, 5352,26024.1, 78099,0
295.000249, 4.99996,1377985, 5381,25985, 68710,0
300.000109, 4.99986,1370607, 5306,25935.9, 65531,0
301.124072, 1.123963,6379, 5306,26263.9, 65531,0

