elapsed, window, total, successful, failed
5.000035, 5.000035, 84386, 81600, 2786
10.000205, 5.00017, 71886, 70220, 1666
15.000072, 4.999867, 69126, 67985, 1141
20.000063, 4.999991, 70902, 69789, 1113
25.001718, 5.001655, 70338, 69299, 1039
30.000008, 4.99829, 73181, 72274, 907
35.000036, 5.000028, 71565, 70682, 883
40.00017, 5.000134, 72476, 71627, 849
45.000117, 4.999947, 70733, 69907, 826
50.000189, 5.000072, 75356, 74636, 720
55.000064, 4.999875, 69279, 68569, 710
60.000085, 5.000021, 73657, 72868, 789
65.000293, 5.000208, 71719, 70974, 745
70.000029, 4.999736, 70415, 69827, 588
75.000034, 5.000005, 73976, 73342, 634
80.000019, 4.999985, 72236, 71666, 570
85.000451, 5.000432, 70852, 70312, 540
90.000132, 4.999681, 73513, 72988, 525
95.000119, 4.999987, 70056, 69511, 545
100.000043, 4.999924, 68785, 68236, 549
105.000798, 5.000755, 70738, 70269, 469
110.000147, 4.999349, 74953, 74506, 447
115.000037, 4.99989, 69562, 69099, 463
120.000175, 5.000138, 69829, 69369, 460
125.000086, 4.999911, 67190, 66720, 470
130.0008, 5.000714, 69064, 68643, 421
135.000054, 4.999254, 69366, 68881, 485
140.00006, 5.000006, 68783, 68404, 379
145.000216, 5.000156, 70760, 70430, 330
150.000116, 4.9999, 69741, 69334, 407
155.000021, 4.999905, 69053, 68671, 382
160.000094, 5.000073, 71269, 70897, 372
165.000082, 4.999988, 73880, 73498, 382
170.000007, 4.999925, 72281, 71873, 408
175.000134, 5.000127, 70069, 69720, 349
180.000012, 4.999878, 68086, 67732, 354
185.000045, 5.000033, 77481, 77127, 354
190.000094, 5.000049, 71628, 71292, 336
195.000375, 5.000281, 72389, 72068, 321
200.000015, 4.99964, 71632, 71332, 300
205.000133, 5.000118, 69101, 68794, 307
210.000008, 4.999875, 73547, 73267, 280
215.00042, 5.000412, 71719, 71438, 281
220.000014, 4.999594, 71245, 70955, 290
225.000807, 5.000793, 71363, 71071, 292
230.000017, 4.99921, 69287, 68987, 300
235.000128, 5.000111, 74353, 74107, 246
240.000554, 5.000426, 70843, 70604, 239
245.00004, 4.999486, 72686, 72463, 223
250.000229, 5.000189, 66103, 65903, 200
255.001048, 5.000819, 70148, 69946, 202
260.000023, 4.998975, 70935, 70726, 209
265.000066, 5.000043, 68680, 68514, 166
270.000228, 5.000162, 72315, 72094, 221
275.00005, 4.999822, 67281, 67066, 215
280.000338, 5.000288, 71877, 71626, 251
285.000154, 4.999816, 73765, 73582, 183
290.000114, 4.99996, 66931, 66713, 218
295.000111, 4.999997, 65935, 65700, 235
300.000361, 5.00025, 70428, 70180, 248
301.034841, 1.03448, 11233, 11178, 55
