elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000097, 5.000097, 2150, 9591, 46059.1, 46457, 70047, 77321, 114519, 201978, 4297
10.000078, 4.999981, 3218, 8513, 48572.1, 49732, 71959, 78834, 92410, 201978, 3102
15.000156, 5.000078, 3560, 7038, 49407.0, 50274, 72825, 80793, 110209, 117711, 2692
20.000033, 4.999877, 3985, 10892, 49873.4, 50968, 72428, 80500, 105220, 134621, 2156
25.000091, 5.000058, 4218, 9457, 49635.4, 50773, 72682, 79804, 95446, 139496, 2107
30.000036, 4.999945, 4354, 8913, 50601.5, 51535, 73194, 82711, 122624, 171585, 1814
35.000026, 4.99999, 4553, 8847, 50089.3, 51131, 72599, 80333, 92358, 110987, 1667
40.000038, 5.000012, 4530, 8766, 50614.0, 51658, 73137, 81735, 106752, 158364, 1667
45.000145, 5.000107, 4637, 6230, 50390.8, 51424, 73283, 82767, 119614, 144748, 1687
50.000029, 4.999884, 4701, 9381, 50309.7, 51149, 73215, 80158, 89577, 106399, 1600
55.000241, 5.000212, 4645, 11487, 50508.1, 51850, 73237, 81992, 128170, 152702, 1492
60.000884, 5.000643, 4906, 6518, 50551.6, 51745, 72833, 80962, 92581, 119334, 1370
65.000013, 4.999129, 4866, 10708, 50580.8, 51640, 73672, 83665, 104610, 152691, 1277
70.000016, 5.000003, 4972, 7209, 50628.8, 51545, 73243, 83148, 124710, 167192, 1315
75.000032, 5.000016, 5197, 8543, 50607.1, 51756, 72913, 79843, 94492, 100730, 1112
80.000022, 4.99999, 5123, 9634, 50871.3, 52152, 72673, 81196, 116907, 159802, 1090
85.000017, 4.999995, 4924, 10549, 52048.4, 53045, 74171, 94408, 134659, 160131, 1159
90.000194, 5.000177, 5112, 6217, 50789.7, 51994, 72764, 80180, 102197, 123834, 1133
95.000023, 4.999829, 5064, 9175, 51156.1, 52341, 73486, 82031, 108335, 125359, 1134
100.000034, 5.000011, 5141, 10949, 50680.9, 51762, 73068, 81158, 108335, 125359, 1102
105.000037, 5.000003, 5142, 11358, 50810.2, 52044, 72681, 82546, 120460, 144300, 1113
110.000046, 5.000009, 5042, 6614, 51544.6, 52502, 74188, 83160, 125898, 150925, 1110
115.000054, 5.000008, 4998, 7440, 51092.9, 52161, 73726, 81769, 109757, 143647, 1125
120.000113, 5.000059, 5055, 11685, 51680.8, 52775, 73953, 85584, 122333, 142830, 1075
125.000012, 4.999899, 5120, 7013, 51131.7, 52213, 73013, 79847, 96103, 116695, 950
130.000011, 4.999999, 5150, 7264, 50878.7, 52215, 72978, 80518, 99723, 116489, 926
135.000021, 5.00001, 5306, 9887, 50999.3, 52298, 73411, 83076, 105045, 130711, 896
140.000018, 4.999997, 5337, 9767, 51209.9, 52514, 73141, 80994, 95720, 124316, 903
145.000027, 5.000009, 5330, 9767, 51217.9, 52398, 73150, 81425, 97010, 119917, 862
150.000063, 5.000036, 5352, 7535, 51550.0, 53153, 73512, 80660, 96543, 113712, 805
155.000149, 5.000086, 5335, 8809, 51682.8, 53114, 73819, 83087, 112192, 146969, 863
160.000169, 5.00002, 5135, 10854, 51916.5, 53165, 74334, 83997, 117385, 159430, 820
165.000063, 4.999894, 5279, 7096, 51798.3, 52812, 74684, 91307, 166781, 236995, 856
170.000024, 4.999961, 5282, 11425, 51433.9, 52806, 73471, 80432, 100756, 156195, 764
175.00003, 5.000006, 5174, 11954, 51788.5, 52811, 73755, 82717, 114648, 140036, 906
180.000103, 5.000073, 5151, 8753, 51660.7, 53100, 73961, 82265, 106442, 164408, 945
185.000126, 5.000023, 5447, 7349, 51309.9, 52664, 73052, 80287, 92690, 126261, 868
190.000166, 5.00004, 5173, 7349, 51061.7, 52316, 73206, 80334, 90156, 110178, 895
195.000054, 4.999888, 5282, 12120, 51304.4, 52431, 73283, 80746, 103467, 144134, 901
200.00002, 4.999966, 5290, 7291, 51456.2, 52710, 73446, 82885, 121904, 153035, 853
205.000044, 5.000024, 5226, 9926, 51690.3, 52770, 73996, 84439, 121904, 156415, 804
210.000075, 5.000031, 5462, 9500, 51837.8, 53238, 73958, 81966, 109403, 135534, 651
215.000006, 4.999931, 5313, 7919, 52049.4, 53152, 74668, 87488, 131125, 182375, 665
220.000016, 5.00001, 5444, 7758, 51959.9, 53190, 74249, 83941, 117271, 156484, 769
225.000073, 5.000057, 5465, 9982, 51953.0, 53420, 73597, 82210, 115379, 169923, 810
230.000037, 4.999964, 5391, 11108, 51729.8, 52839, 74105, 83682, 110012, 148245, 721
235.000071, 5.000034, 5441, 10136, 52123.4, 53244, 74791, 84243, 114663, 159344, 653
240.000082, 5.000011, 5329, 9977, 51762.2, 52761, 74981, 86218, 128678, 157668, 649
245.000075, 4.999993, 5513, 11164, 52092.2, 53402, 74373, 84590, 122483, 151636, 698
250.000009, 4.999934, 5580, 11247, 51647.1, 52898, 73992, 82745, 111995, 147035, 625
255.000297, 5.000288, 5491, 8487, 51778.6, 52962, 73865, 82180, 110146, 123754, 603
