elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000058, 5.000058, 12750, 6384, 34985.9, 36018, 53844, 61905, 89062, 1065260, 4844
10.000021, 4.999963, 13378, 6626, 35086.3, 36193, 53502, 61750, 103020, 1041554, 2000
15.000145, 5.000124, 14268, 6400, 35304.3, 36412, 53650, 63060, 103584, 1046408, 1529
20.000288, 5.000143, 13694, 7020, 35341.4, 36439, 53457, 60322, 79444, 1046408, 1169
25.000044, 4.999756, 14152, 6555, 35394.2, 36477, 54204, 62802, 89965, 1038838, 1029
30.000039, 4.999995, 13960, 6476, 34927.3, 36272, 54109, 62795, 99514, 145615, 908
35.000286, 5.000247, 14702, 6363, 35421.1, 36445, 54225, 63195, 94323, 1050296, 974
40.000478, 5.000192, 14336, 6363, 35689.5, 36702, 54574, 64692, 110271, 1037441, 824
45.000121, 4.999643, 14212, 6482, 35461.6, 36638, 54277, 62584, 94752, 137747, 839
50.000059, 4.999938, 14102, 6517, 35608.4, 36677, 54260, 63227, 89944, 1041088, 761
55.000036, 4.999977, 14311, 6547, 36129.4, 36660, 55907, 71516, 117757, 1041088, 833
60.000053, 5.000017, 13992, 6258, 35506.3, 36629, 54726, 64380, 94407, 1034668, 719
65.000007, 4.999954, 14254, 6789, 35873.2, 36718, 54935, 65557, 112937, 1036697, 714
70.000027, 5.00002, 13851, 6781, 35982.5, 36924, 55397, 65060, 92233, 1037472, 650
75.000017, 4.99999, 13309, 6867, 36757.3, 37140, 56072, 71781, 121652, 1045463, 643
80.000043, 5.000026, 13865, 6629, 36586.1, 37071, 56587, 73946, 135020, 227778, 700
85.000172, 5.000129, 13410, 6794, 36248.2, 37084, 55859, 66119, 92807, 1064392, 664
90.000173, 5.000001, 13623, 6481, 36737.1, 37351, 56593, 69795, 104675, 1046823, 671
95.000075, 4.999902, 13606, 6332, 36455.3, 37041, 55495, 69669, 118729, 1042787, 623
100.000034, 4.999959, 13931, 6991, 36370.0, 37267, 55549, 67040, 94735, 1039201, 587
105.000061, 5.000027, 13490, 6682, 36925.4, 37554, 56496, 68758, 93790, 1052846, 630
110.000038, 4.999977, 13494, 6546, 36287.4, 37288, 55558, 64768, 90190, 1022494, 674
115.000013, 4.999975, 13827, 6891, 36900.0, 37365, 56383, 69127, 106901, 1065198, 695
120.000013, 5.0, 13807, 7068, 36893.2, 37273, 56365, 69083, 124605, 1065198, 582
125.000035, 5.000022, 13586, 7020, 37491.6, 38027, 57039, 70206, 116231, 1053019, 645
130.000207, 5.000172, 13186, 6703, 36859.9, 37460, 56068, 67164, 108832, 1044164, 603
135.000033, 4.999826, 13190, 7123, 36818.6, 37348, 56870, 69628, 106419, 1049770, 591
140.000302, 5.000269, 13084, 6650, 37411.4, 37743, 57482, 71132, 120912, 1059325, 631
145.000242, 4.99994, 13035, 6941, 37638.6, 37849, 57249, 68556, 118056, 1059325, 504
150.000639, 5.000397, 13290, 6957, 37826.0, 38100, 58257, 73048, 109357, 1043718, 586
155.000014, 4.999375, 13346, 6491, 37556.3, 37871, 56922, 68689, 103524, 1048641, 546
160.000799, 5.000785, 12963, 6289, 37771.5, 37885, 57791, 71479, 101964, 1053209, 562
165.000023, 4.999224, 13201, 6679, 37725.7, 37915, 57979, 72953, 115860, 1045512, 607
170.000017, 4.999994, 12726, 6811, 37633.3, 37879, 57669, 73019, 121743, 1098349, 499
175.000099, 5.000082, 12901, 7004, 37937.1, 38487, 59190, 74317, 100858, 1049367, 595
180.000817, 5.000718, 12590, 6716, 38138.0, 38343, 58766, 75530, 112380, 1038200, 550
181.022925, 1.022108, 2480, 6716, 38477.5, 38286, 59802, 78465, 160219, 1058773, 105
