elapsed, window, total, successful, failed
5.000088, 5.000088, 51021, 48542, 2479
10.000008, 4.99992, 41466, 40322, 1144
15.000376, 5.000368, 41945, 41027, 918
20.000009, 4.999633, 41247, 40459, 788
25.000094, 5.000085, 42051, 41373, 678
30.000034, 4.99994, 41860, 41271, 589
35.000036, 5.000002, 41641, 41077, 564
40.000121, 5.000085, 41749, 41267, 482
45.000104, 4.999983, 41455, 40962, 493
50.000044, 4.99994, 41317, 40844, 473
55.000119, 5.000075, 41192, 40732, 460
60.000723, 5.000604, 41233, 40788, 445
65.000146, 4.999423, 41423, 41001, 422
70.000171, 5.000025, 41167, 40711, 456
75.000122, 4.999951, 40749, 40356, 393
80.00071, 5.000588, 40966, 40564, 402
85.000041, 4.999331, 41086, 40727, 359
90.00027, 5.000229, 41045, 40579, 466
95.000217, 4.999947, 41157, 40809, 348
100.001737, 5.00152, 41012, 40653, 359
105.000369, 4.998632, 41051, 40685, 366
110.000317, 4.999948, 41419, 41034, 385
115.000022, 4.999705, 41085, 40747, 338
120.000134, 5.000112, 41067, 40742, 325
125.00004, 4.999906, 41211, 40858, 353
130.000175, 5.000135, 40869, 40577, 292
135.000127, 4.999952, 40827, 40503, 324
140.000069, 4.999942, 40837, 40530, 307
145.00059, 5.000521, 40482, 40169, 313
150.000067, 4.999477, 40736, 40453, 283
155.000028, 4.999961, 41223, 40927, 296
160.000018, 4.99999, 41085, 40794, 291
165.000204, 5.000186, 41388, 41093, 295
170.000186, 4.999982, 41012, 40705, 307
175.00019, 5.000004, 40960, 40659, 301
180.000155, 4.999965, 41116, 40824, 292
185.000057, 4.999902, 40613, 40363, 250
190.000808, 5.000751, 40562, 40325, 237
195.000055, 4.999247, 40780, 40532, 248
200.000779, 5.000724, 40796, 40589, 207
205.000098, 4.999319, 40389, 40137, 252
210.000013, 4.999915, 41022, 40736, 286
215.000036, 5.000023, 40757, 40521, 236
220.000113, 5.000077, 40710, 40512, 198
225.000137, 5.000024, 40885, 40680, 205
230.000131, 4.999994, 40617, 40419, 198
235.000036, 4.999905, 40883, 40660, 223
240.00001, 4.999974, 40438, 40262, 176
245.000026, 5.000016, 40884, 40704, 180
250.000022, 4.999996, 40447, 40251, 196
255.000039, 5.000017, 40721, 40495, 226
260.000234, 5.000195, 40638, 40435, 203
265.00028, 5.000046, 40450, 40304, 146
270.000303, 5.000023, 40475, 40293, 182
275.000622, 5.000319, 40625, 40439, 186
280.000069, 4.999447, 40381, 40190, 191
285.000013, 4.999944, 40367, 40196, 171
290.000097, 5.000084, 40489, 40318, 171
295.0001, 5.000003, 40393, 40165, 228
300.000126, 5.000026, 40238, 40047, 191
301.020187, 1.020061, 7933, 7899, 34
