elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000068, 5.000068, 33181, 8010, 52912.8, 52238, 75475, 103452, 152045, 229046, 0
10.000212, 5.000144, 32260, 8010, 54299.4, 53564, 77033, 102168, 145400, 253264, 0
15.000099, 4.999887, 31232, 10582, 55427.1, 54055, 80686, 119958, 171618, 230400, 0
20.000149, 5.00005, 31199, 11065, 56089.0, 53942, 84103, 134438, 199529, 278961, 0
25.000091, 4.999942, 31123, 10105, 55869.3, 54007, 83785, 125735, 187041, 247114, 0
30.000035, 4.999944, 32006, 7546, 54774.9, 53797, 78275, 110626, 156321, 208192, 0
35.000048, 5.000013, 30931, 7796, 56446.8, 54394, 84096, 133675, 232511, 337126, 0
40.000559, 5.000511, 31826, 10757, 55022.7, 53688, 79465, 117168, 172365, 261348, 0
45.000082, 4.999523, 31072, 11147, 55982.2, 54125, 81987, 135171, 208188, 303423, 0
50.000098, 5.000016, 31119, 10529, 55971.2, 53940, 82671, 136401, 218996, 330363, 0
55.000043, 4.999945, 31141, 10865, 55582.4, 53920, 82140, 124818, 176819, 337150, 0
60.00001, 4.999967, 31376, 9365, 55825.5, 54090, 83217, 127420, 186633, 255164, 0
65.000047, 5.000037, 31188, 8483, 55697.9, 54063, 81804, 125771, 180328, 270661, 0
70.000324, 5.000277, 31047, 7591, 56262.5, 54512, 83956, 131096, 182953, 234828, 0
75.000109, 4.999785, 31086, 9943, 56237.8, 54202, 85134, 131084, 179788, 225421, 0
80.000037, 4.999928, 31042, 11164, 56243.4, 54293, 83039, 131517, 214233, 477452, 0
85.000136, 5.000099, 31255, 10310, 55564.6, 54100, 80782, 121154, 172132, 235186, 0
90.000371, 5.000235, 31029, 9048, 56104.6, 54250, 83213, 130073, 187866, 341000, 0
95.000058, 4.999687, 30505, 8529, 57293.0, 54773, 90605, 139815, 204902, 268223, 0
100.000029, 4.999971, 30562, 9897, 57068.8, 54367, 88531, 146386, 206280, 358099, 0
105.000008, 4.999979, 30886, 7960, 56875.7, 54580, 86457, 137389, 208845, 358099, 0
110.000293, 5.000285, 31087, 7960, 56353.9, 54286, 84363, 130515, 203186, 298841, 0
115.000011, 4.999718, 30123, 7755, 57710.6, 54709, 92921, 149784, 214077, 325435, 0
120.000077, 5.000066, 30423, 11135, 57378.1, 54785, 90387, 145402, 192518, 259095, 0
125.000013, 4.999936, 30537, 8568, 57055.7, 54408, 89830, 143187, 206647, 262144, 0
130.000049, 5.000036, 30552, 9683, 57215.0, 54590, 88301, 145062, 215023, 293654, 0
135.000575, 5.000526, 30282, 11428, 57616.8, 54857, 91465, 145152, 217030, 297554, 0
140.000021, 4.999446, 30539, 11697, 57085.7, 54711, 88468, 140995, 196765, 278624, 0
145.000123, 5.000102, 30691, 10708, 56835.6, 55054, 84297, 128822, 197446, 321085, 0
150.000013, 4.99989, 30529, 10708, 56932.3, 55001, 85658, 132498, 185008, 216198, 0
155.000254, 5.000241, 29916, 10976, 58172.8, 54770, 93723, 157935, 253805, 384402, 0
160.000036, 4.999782, 30277, 8962, 57752.1, 54982, 91970, 145710, 213813, 298146, 0
165.000053, 5.000017, 30194, 8962, 57439.5, 54881, 88524, 141119, 230575, 306345, 0
170.000096, 5.000043, 30223, 11342, 57662.1, 55187, 91111, 141065, 209871, 294507, 0
175.00011, 5.000014, 30239, 9264, 58014.6, 55173, 95555, 143059, 211294, 293132, 0
180.000018, 4.999908, 29905, 10390, 58351.1, 54954, 98669, 159796, 226296, 284254, 0
185.000047, 5.000029, 30106, 10049, 57886.1, 55023, 90898, 151382, 223772, 325671, 0
190.000007, 4.99996, 29628, 7510, 59236.8, 55072, 103813, 171344, 242148, 387769, 0
195.000184, 5.000177, 29517, 9190, 59325.1, 55332, 104244, 163414, 253349, 310840, 0
200.00014, 4.999956, 29412, 9467, 59185.0, 55456, 100410, 162772, 244070, 347578, 0
205.000072, 4.999932, 29855, 9467, 58689.0, 55335, 98407, 152802, 218326, 277881, 0
210.000049, 4.999977, 30120, 9622, 58078.7, 55233, 91924, 150084, 236444, 434477, 0
215.00001, 4.999961, 30399, 10957, 57027.7, 55510, 83367, 120346, 170100, 268066, 0
220.00001, 5.0, 30621, 10957, 57256.9, 55570, 85664, 125486, 168924, 291122, 0
225.00005, 5.00004, 30306, 11465, 57297.8, 55841, 85397, 120484, 158415, 222296, 0
230.000056, 5.000006, 29510, 8376, 58777.6, 55758, 92793, 153003, 239341, 353454, 0
235.000269, 5.000213, 29118, 9239, 60507.7, 55917, 109444, 177861, 244738, 353454, 0
240.000015, 4.999746, 29577, 9491, 59340.0, 55249, 103706, 170798, 258773, 352044, 0
245.000042, 5.000027, 29073, 8871, 60061.7, 55210, 112203, 181504, 254857, 443380, 0
250.000126, 5.000084, 29033, 9663, 60185.0, 55570, 110729, 169395, 236333, 458719, 0
255.00012, 4.999994, 29371, 10083, 59075.6, 55387, 100074, 162212, 247934, 306472, 0
260.000014, 4.999894, 29940, 9997, 58828.5, 55419, 96159, 153988, 279421, 415200, 0
265.00002, 5.000006, 29025, 7849, 59564.7, 55637, 101613, 165979, 280839, 444050, 0
