elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000018, 5.000018, 1612, 15451, 77184.1, 65861, 164740, 248947, 355666, 391504, 5033
10.000139, 5.000121, 2052, 12065, 84062.7, 72500, 168172, 261052, 351451, 388292, 4996
15.000028, 4.999889, 2321, 11851, 83835.0, 76123, 157821, 208083, 296589, 334441, 4639
20.000104, 5.000076, 2259, 12527, 82537.5, 73565, 158650, 211395, 262271, 302791, 4884
25.000041, 4.999937, 2429, 12527, 83223.8, 76314, 151019, 192534, 252508, 279377, 4611
30.00054, 5.000499, 2441, 13347, 81060.3, 75848, 143000, 185732, 231669, 255095, 4546
35.000014, 4.999474, 2444, 13347, 80033.2, 74825, 144605, 187248, 230105, 253624, 4624
40.000014, 5.0, 2580, 12517, 84237.2, 78328, 154699, 192964, 231319, 250433, 4642
45.00029, 5.000276, 2434, 12517, 82008.7, 76543, 146636, 193037, 243868, 281020, 4591
50.000252, 4.999962, 2471, 15091, 81487.3, 74968, 154995, 206234, 260660, 281020, 4756
55.000051, 4.999799, 2402, 14142, 81933.7, 77198, 143564, 178818, 226298, 333915, 4672
60.000035, 4.999984, 2441, 10599, 84397.6, 77428, 156554, 203507, 246574, 266143, 4624
65.000022, 4.999987, 2505, 9794, 83122.6, 76007, 150514, 195522, 276803, 342738, 4679
70.000009, 4.999987, 2557, 12044, 86357.3, 78587, 161276, 219847, 281485, 319515, 4663
75.000117, 5.000108, 2431, 13830, 85236.6, 78221, 153907, 197818, 232596, 289399, 4564
80.000097, 4.99998, 2594, 15682, 84618.7, 78776, 150532, 194425, 231819, 270526, 4787
85.000019, 4.999922, 2411, 13211, 81900.0, 76119, 152374, 190041, 230399, 240187, 4503
90.000013, 4.999994, 2288, 12886, 83911.2, 76185, 161369, 198404, 242601, 261290, 4565
95.00009, 5.000077, 2462, 15661, 84106.9, 77403, 156971, 195641, 247413, 324965, 4546
100.000008, 4.999918, 2433, 14969, 82395.0, 75037, 153379, 199168, 269000, 309889, 4786
105.000083, 5.000075, 2461, 13262, 83747.5, 75540, 157120, 206447, 263269, 293095, 4636
110.000026, 4.999943, 2538, 10937, 83871.0, 76069, 156754, 204842, 254083, 261308, 4667
115.000008, 4.999982, 2453, 11355, 85905.8, 78023, 171701, 211995, 267693, 292547, 4468
120.000129, 5.000121, 2498, 13422, 84295.3, 76814, 155878, 206445, 252346, 319187, 4621
125.000024, 4.999895, 2359, 12396, 83770.9, 74883, 160756, 208678, 252346, 267656, 4621
130.000049, 5.000025, 2460, 11656, 85838.8, 78112, 161268, 208319, 250231, 285268, 4463
135.000037, 4.999988, 2396, 11399, 82458.6, 73905, 158643, 215624, 262048, 311563, 4561
140.00008, 5.000043, 2550, 13628, 83281.8, 78132, 146948, 186283, 233069, 250251, 4690
