elapsed, window, n, min, mean, max, errors
5.00052, 5.00052,18293, 11004,58592.3, 172964,32181
10.000029, 4.999509,24611, 10855,57636.9, 116975,33150
15.000124, 5.000095,26474, 11054,58246.6, 118170,32684
20.000042, 4.999918,27008, 10898,58168.3, 123885,32667
25.000101, 5.000059,26805, 12071,58195.5, 114983,31896
30.000035, 4.999934,27104, 11826,58395.5, 115711,31451
35.000104, 5.000069,27076, 10713,58432.8, 122823,31127
40.000007, 4.999903,27222, 10914,58296.9, 118723,31154
45.000018, 5.000011,27315, 10007,58464, 116825,30876
50.000082, 5.000064,27368, 9273,58337.5, 126279,31571
55.000085, 5.000003,27319, 10578,58444.8, 118567,31304
60.000041, 4.999956,27399, 7877,58521.8, 115276,31475
65.000032, 4.999991,27190, 10957,58501.6, 121891,31216
70.000026, 4.999994,27409, 9425,58607.2, 129421,31204
75.000019, 4.999993,27614, 10241,58854.4, 116050,31914
80.000256, 5.000237,28000, 9821,58404.7, 125568,31443
85.000028, 4.999772,27375, 9029,58379.3, 122112,30838
90.000462, 5.000434,27668, 9898,58559.4, 125523,31253
95.000042, 4.99958,27518, 11165,58495.5, 125523,30400
100.000019, 4.999977,27481, 9389,58376.8, 122345,30579
105.00002, 5.000001,27831, 10252,58629.7, 122345,31153
110.0001, 5.00008,27930, 11691,58593.2, 118579,30660
115.001072, 5.000972,27326, 10792,58421.8, 120933,29813
120.000095, 4.999023,27658, 10147,58510, 111709,30884
125.000016, 4.999921,27731, 11277,58747.7, 128651,31319
130.000061, 5.000045,27040, 10073,58605.3, 120744,30101
135.000014, 4.999953,27589, 10073,58777.7, 123601,30798
140.000028, 5.000014,27845, 10329,58803.8, 139728,30981
145.000014, 4.999986,27822, 9746,58659.5, 129764,31018
150.00011, 5.000096,27903, 10792,58963.8, 129764,31106
155.000173, 5.000063,27647, 11073,58762.8, 119495,31133
160.001144, 5.000971,27877, 9157,58699.8, 117899,31376
165.000014, 4.99887,27886, 9157,58762.4, 119102,30806
170.000164, 5.00015,27721, 10845,58708.3, 125597,30972
175.000094, 4.99993,27597, 10960,58967.6, 115816,31410
180.000201, 5.000107,27582, 10758,58957.7, 120814,30684
185.00017, 4.999969,27126, 11025,58631.4, 128109,30247
190.00003, 4.99986,27842, 9455,58858.8, 114369,30757
195.000334, 5.000304,27490, 10714,58866.1, 117713,30496
200.000348, 5.000014,27334, 10339,58651.7, 125660,30291
205.000283, 4.999935,27545, 10091,58894.2, 122194,31181
210.000222, 4.999939,27428, 10456,58840.8, 116157,30859
215.000061, 4.999839,27173, 8503,58657.5, 117264,30223
220.000731, 5.00067,27417, 9622,58724, 109636,30507
225.000132, 4.999401,27681, 9187,58912.2, 126542,30607
230.000044, 4.999912,28020, 11088,58826.9, 118657,30980
235.000008, 4.999964,27734, 10354,58838.6, 125358,30459
240.000168, 5.00016,27491, 10624,58904.3, 113996,30814
245.000151, 4.999983,27383, 11567,58976.3, 118482,30189
250.000051, 4.9999,27878, 11624,59085.6, 134156,31012
255.000021, 4.99997,27781, 9267,58846.1, 127659,30581
260.000143, 5.000122,27820, 10521,59049, 134566,31135
265.000013, 4.99987,27569, 10502,58746.2, 121919,30273
270.000358, 5.000345,27960, 9981,59065.5, 126477,31073
275.000049, 4.999691,27793, 11406,58906.7, 122149,30970
280.000016, 4.999967,27589, 10852,58836.5, 121624,30438
285.000009, 4.999993,27703, 9699,59071, 133007,30764
290.001, 5.000991,27706, 9420,59068.7, 130402,30159
295.000161, 4.999161,27706, 10554,59072, 120398,31051
300.000088, 4.999927,27810, 10079,59019.8, 136413,30536
301.030082, 1.029994,4876, 10079,59006.8, 1042624,5396

