elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000058, 5.000058, 4114, 397, 18808.7, 16801, 41778, 61247, 87888, 103188, 2682
10.00007, 5.000012, 5090, 611, 19979.2, 18293, 42663, 58578, 86369, 107288, 1173
15.000225, 5.000155, 5499, 462, 19951.1, 18612, 41842, 55666, 83768, 112505, 818
20.000051, 4.999826, 5476, 468, 20031.0, 18584, 41645, 61077, 91640, 116808, 706
25.000093, 5.000042, 5687, 420, 20162.3, 18421, 42805, 62065, 100241, 131009, 665
30.000023, 4.99993, 5734, 399, 20337.7, 18844, 43315, 60949, 81064, 88947, 580
35.000016, 4.999993, 5619, 595, 20365.1, 18906, 43368, 62262, 85824, 92015, 585
40.000034, 5.000018, 5823, 447, 20065.7, 18441, 42618, 60476, 84430, 95255, 539
45.000066, 5.000032, 5734, 593, 20353.6, 18700, 43304, 59808, 82298, 97221, 504
50.001259, 5.001193, 5660, 430, 20656.1, 19030, 43913, 59269, 82053, 111175, 509
55.000042, 4.998783, 5723, 481, 20187.1, 18475, 42796, 59766, 80669, 106064, 439
60.000276, 5.000234, 5776, 331, 20345.9, 18785, 43724, 61490, 85220, 106064, 449
65.000019, 4.999743, 5898, 502, 20483.7, 18615, 44484, 66069, 86213, 91547, 411
70.000563, 5.000544, 5790, 416, 20390.2, 18673, 43003, 59043, 81719, 97029, 437
75.000019, 4.999456, 5872, 525, 20588.7, 18827, 44243, 61163, 86239, 108885, 395
80.000009, 4.99999, 5873, 388, 20408.9, 18810, 42638, 60892, 96256, 112918, 426
85.000023, 5.000014, 5882, 532, 20573.5, 18848, 43857, 60291, 86418, 112918, 385
90.000493, 5.00047, 5913, 414, 20677.4, 18832, 44788, 64264, 90850, 105926, 413
95.00009, 4.999597, 5793, 514, 20344.8, 19028, 42587, 57134, 79646, 88734, 346
100.000028, 4.999938, 5868, 313, 20470.8, 18692, 44295, 62408, 89590, 96806, 358
105.000115, 5.000087, 5887, 617, 20610.0, 18730, 44808, 61846, 80788, 100430, 387
110.000025, 4.99991, 5898, 381, 20667.5, 18783, 44741, 62462, 89317, 108752, 366
115.000328, 5.000303, 6064, 345, 20538.8, 18826, 44100, 62031, 91444, 100142, 349
120.000103, 4.999775, 5816, 599, 20836.1, 18812, 45254, 67885, 92506, 108882, 361
125.000029, 4.999926, 5698, 464, 20391.7, 18994, 43844, 59418, 81440, 116765, 303
130.000009, 4.99998, 5841, 464, 20733.4, 19140, 44160, 61708, 96907, 144274, 338
135.000037, 5.000028, 5839, 296, 20869.0, 19229, 45381, 63386, 87545, 98816, 336
140.000058, 5.000021, 5939, 501, 20904.7, 19316, 44572, 64690, 82894, 99530, 328
145.000019, 4.999961, 5905, 361, 20390.6, 19056, 43226, 58661, 81286, 122190, 339
150.000031, 5.000012, 5704, 629, 20277.8, 18679, 43262, 58210, 81759, 93526, 340
155.000007, 4.999976, 5885, 530, 20871.9, 19230, 44123, 61628, 80783, 104515, 325
160.000074, 5.000067, 5905, 468, 20620.4, 19103, 44420, 61695, 85816, 101481, 287
165.000061, 4.999987, 5810, 339, 20780.3, 18979, 44762, 64141, 96192, 121155, 283
170.000015, 4.999954, 5963, 236, 20681.2, 18865, 45128, 62138, 91523, 110792, 302
175.000128, 5.000113, 6017, 251, 21012.2, 19213, 44780, 65649, 90890, 102698, 315
180.000055, 4.999927, 5710, 377, 20523.8, 18743, 43240, 61955, 87902, 110570, 246
185.000019, 4.999964, 5868, 539, 21182.7, 19125, 45449, 65981, 84503, 105722, 318
190.00002, 5.000001, 5842, 368, 20655.4, 18996, 43348, 63230, 81599, 105722, 273
195.000066, 5.000046, 5878, 316, 20404.1, 18661, 44259, 63197, 82929, 109688, 269
200.00005, 4.999984, 5864, 469, 20780.9, 19026, 43825, 63436, 87757, 124355, 289
205.000444, 5.000394, 5959, 417, 20893.6, 18832, 46325, 65229, 95349, 111797, 281
210.000464, 5.00002, 5823, 417, 20605.5, 18735, 43603, 61393, 93748, 116154, 278
215.000027, 4.999563, 5949, 518, 20797.6, 19122, 45129, 62693, 94161, 116154, 281
220.00002, 4.999993, 5918, 430, 21039.9, 19043, 45170, 61557, 86296, 105179, 266
225.000583, 5.000563, 5848, 504, 21192.7, 19292, 46599, 66079, 89187, 119972, 277
230.000014, 4.999431, 5775, 340, 20812.8, 18960, 45729, 63320, 90192, 106365, 236
235.000086, 5.000072, 6116, 360, 21293.0, 19319, 46115, 63942, 88378, 121948, 303
240.000031, 4.999945, 5989, 507, 20702.8, 18703, 44947, 62727, 89860, 105131, 277
245.000022, 4.999991, 5897, 385, 20813.2, 19091, 44915, 65296, 98671, 167612, 282
250.000009, 4.999987, 5916, 343, 20725.8, 18708, 45048, 65701, 95918, 133244, 244
255.001027, 5.001018, 5954, 364, 20506.6, 18914, 43842, 61795, 83758, 96478, 219
260.00002, 4.998993, 5789, 364, 20868.3, 18846, 46367, 65575, 91700, 111414, 259
265.000015, 4.999995, 5896, 478, 20928.8, 18961, 46114, 66361, 97399, 103230, 242
270.000087, 5.000072, 5818, 501, 20993.6, 19388, 44994, 62468, 85806, 106837, 246
275.00015, 5.000063, 5872, 540, 20971.6, 19062, 45403, 67582, 105110, 140286, 267
280.00036, 5.00021, 5784, 350, 20941.6, 19027, 45451, 64442, 85242, 116081, 209
285.000031, 4.999671, 5928, 444, 20899.2, 19042, 44980, 65160, 87171, 108253, 258
290.000033, 5.000002, 5633, 528, 20765.4, 18862, 44679, 65548, 89938, 123345, 276
295.000384, 5.000351, 5981, 359, 21118.5, 19128, 46795, 64454, 88372, 112930, 257
300.000024, 4.99964, 5750, 490, 20884.1, 19196, 44721, 61605, 86922, 108854, 227
301.042163, 1.042139, 1183, 490, 20996.4, 19137, 45210, 62562, 96966, 108854, 36
