elapsed, window, total, successful, failed
5.000152, 5.000152, 43445, 10284, 33161
10.000024, 4.999872, 45165, 11759, 33406
15.000035, 5.000011, 48531, 12597, 35934
20.000012, 4.999977, 47170, 12670, 34500
25.000254, 5.000242, 48623, 13052, 35571
30.000032, 4.999778, 49385, 12871, 36514
35.00062, 5.000588, 47882, 12905, 34977
40.000081, 4.999461, 49805, 13439, 36366
45.000199, 5.000118, 49267, 13322, 35945
50.000651, 5.000452, 48914, 13182, 35732
55.000312, 4.999661, 47833, 12953, 34880
60.000014, 4.999702, 48800, 12934, 35866
65.000036, 5.000022, 47645, 12948, 34697
70.000081, 5.000045, 48225, 12989, 35236
75.000138, 5.000057, 48661, 13107, 35554
80.000011, 4.999873, 49442, 13413, 36029
85.000035, 5.000024, 49233, 13283, 35950
90.000016, 4.999981, 49211, 13518, 35693
95.000046, 5.00003, 49383, 13614, 35769
100.000607, 5.000561, 48655, 13134, 35521
105.000341, 4.999734, 49797, 13452, 36345
110.000164, 4.999823, 47575, 13066, 34509
115.000034, 4.99987, 48556, 13175, 35381
120.000025, 4.999991, 47980, 13235, 34745
125.000054, 5.000029, 48830, 13335, 35495
130.000027, 4.999973, 47523, 12878, 34645
135.000018, 4.999991, 48615, 12772, 35843
140.000019, 5.000001, 47958, 13296, 34662
145.000146, 5.000127, 49485, 13204, 36281
150.000011, 4.999865, 47308, 12726, 34582
155.000013, 5.000002, 48263, 13010, 35253
160.000027, 5.000014, 49133, 13082, 36051
165.00006, 5.000033, 47519, 13206, 34313
170.000007, 4.999947, 48692, 12915, 35777
175.000022, 5.000015, 47121, 13139, 33982
180.000046, 5.000024, 48726, 12993, 35733
185.000037, 4.999991, 47541, 12825, 34716
190.000019, 4.999982, 47512, 12569, 34943
195.000025, 5.000006, 47864, 12801, 35063
200.000013, 4.999988, 48009, 13108, 34901
205.000295, 5.000282, 48670, 13001, 35669
210.000064, 4.999769, 48512, 13295, 35217
215.000016, 4.999952, 49228, 13183, 36045
220.000007, 4.999991, 47214, 12861, 34353
225.000154, 5.000147, 47443, 12574, 34869
230.000017, 4.999863, 47661, 12905, 34756
235.000089, 5.000072, 48353, 12973, 35380
240.000018, 4.999929, 47092, 12933, 34159
245.000023, 5.000005, 48507, 12658, 35849
250.000047, 5.000024, 48231, 12851, 35380
255.000098, 5.000051, 48190, 13285, 34905
260.000119, 5.000021, 48514, 13145, 35369
265.000015, 4.999896, 48553, 13165, 35388
270.000153, 5.000138, 47849, 12888, 34961
275.000032, 4.999879, 48271, 13083, 35188
280.000027, 4.999995, 49306, 13090, 36216
285.000164, 5.000137, 48137, 13360, 34777
290.00001, 4.999846, 48869, 13087, 35782
295.000011, 5.000001, 47872, 13366, 34506
300.000036, 5.000025, 47387, 12119, 35268
301.034978, 1.034942, 9378, 2920, 6458
