elapsed, window, total, successful, failed
5.002027, 5.002027, 419724, 419724, 0
10.000037, 4.99801, 386640, 386640, 0
15.002945, 5.002908, 389236, 389236, 0
20.000694, 4.997749, 388850, 388850, 0
25.000989, 5.000295, 386924, 386924, 0
30.002023, 5.001034, 387611, 387611, 0
35.001955, 4.999932, 387888, 387888, 0
40.00157, 4.999615, 385328, 385328, 0
45.000193, 4.998623, 388564, 388564, 0
50.000103, 4.99991, 388676, 388676, 0
55.000617, 5.000514, 383860, 383860, 0
60.00006, 4.999443, 387549, 387549, 0
65.000752, 5.000692, 385553, 385553, 0
70.000345, 4.999593, 381373, 381373, 0
75.000188, 4.999843, 384286, 384286, 0
80.000182, 4.999994, 384338, 384338, 0
85.002042, 5.00186, 383982, 383982, 0
90.002134, 5.000092, 381801, 381801, 0
95.001344, 4.99921, 383790, 383790, 0
100.000057, 4.998713, 383440, 383440, 0
105.002793, 5.002736, 384670, 384670, 0
110.000212, 4.997419, 385049, 385049, 0
115.000477, 5.000265, 386152, 386152, 0
120.000812, 5.000335, 382331, 382331, 0
125.000083, 4.999271, 387028, 387028, 0
130.001046, 5.000963, 386606, 386606, 0
135.000213, 4.999167, 384772, 384772, 0
140.000933, 5.00072, 386277, 386277, 0
145.000195, 4.999262, 386322, 386322, 0
150.000141, 4.999946, 385833, 385833, 0
155.002392, 5.002251, 385856, 385856, 0
160.000099, 4.997707, 387030, 387030, 0
165.000122, 5.000023, 385703, 385703, 0
170.000621, 5.000499, 386444, 386444, 0
175.002134, 5.001513, 386208, 386208, 0
180.000059, 4.997925, 385032, 385032, 0
185.002133, 5.002074, 389556, 389556, 0
190.001176, 4.999043, 384425, 384425, 0
195.000521, 4.999345, 389882, 389882, 0
200.00144, 5.000919, 385316, 385316, 0
205.000073, 4.998633, 386619, 386619, 0
210.000224, 5.000151, 386812, 386812, 0
215.000284, 5.00006, 385247, 385247, 0
220.000021, 4.999737, 388779, 388779, 0
225.000922, 5.000901, 386761, 386761, 0
230.000544, 4.999622, 386792, 386792, 0
235.002443, 5.001899, 386707, 386707, 0
240.000048, 4.997605, 388851, 388851, 0
245.001927, 5.001879, 388033, 388033, 0
250.001316, 4.999389, 388471, 388471, 0
255.000086, 4.99877, 386164, 386164, 0
260.000968, 5.000882, 388710, 388710, 0
265.003483, 5.002515, 391082, 391082, 0
270.000184, 4.996701, 388087, 388087, 0
275.001991, 5.001807, 389064, 389064, 0
280.001019, 4.999028, 389055, 389055, 0
285.001608, 5.000589, 391983, 391983, 0
290.001361, 4.999753, 387619, 387619, 0
295.000082, 4.998721, 390758, 390758, 0
300.00002, 4.999938, 388991, 388991, 0
301.15637, 1.15635, 39996, 39996, 0
