elapsed, window, total, successful, failed
5.000033, 5.000033, 32696, 11870, 20826
10.000072, 5.000039, 30060, 10842, 19218
15.000055, 4.999983, 30421, 10859, 19562
20.00035, 5.000295, 30332, 10932, 19400
25.000015, 4.999665, 29941, 10745, 19196
30.000263, 5.000248, 30934, 11109, 19825
35.000024, 4.999761, 29583, 10663, 18920
40.000868, 5.000844, 31857, 11494, 20363
45.000014, 4.999146, 29074, 10720, 18354
50.000005, 4.999991, 29221, 10703, 18518
55.00013, 5.000125, 28799, 10603, 18196
60.000179, 5.000049, 28663, 10336, 18327
65.000359, 5.00018, 31077, 10999, 20078
70.000017, 4.999658, 28361, 10250, 18111
75.000077, 5.00006, 30445, 10950, 19495
80.000017, 4.99994, 29379, 10557, 18822
85.000181, 5.000164, 28035, 10179, 17856
90.000093, 4.999912, 28977, 10756, 18221
95.000358, 5.000265, 30942, 11216, 19726
100.000038, 4.99968, 31338, 11080, 20258
105.001338, 5.0013, 29484, 10699, 18785
110.000084, 4.998746, 29111, 10532, 18579
115.000475, 5.000391, 30287, 10817, 19470
120.000077, 4.999602, 30703, 11185, 19518
125.000439, 5.000362, 29887, 10790, 19097
130.000548, 5.000109, 29443, 10716, 18727
135.000021, 4.999473, 29706, 10830, 18876
140.000085, 5.000064, 28837, 10521, 18316
145.000013, 4.999928, 31078, 11247, 19831
150.000164, 5.000151, 30121, 10972, 19149
155.000318, 5.000154, 29714, 10754, 18960
160.00004, 4.999722, 30598, 10950, 19648
165.000222, 5.000182, 29591, 10906, 18685
170.000236, 5.000014, 29989, 10803, 19186
175.000014, 4.999778, 31074, 11064, 20010
180.000061, 5.000047, 29800, 10731, 19069
185.000043, 4.999982, 29981, 10817, 19164
190.000423, 5.00038, 31269, 11126, 20143
195.000075, 4.999652, 28899, 10453, 18446
200.001366, 5.001291, 29591, 10657, 18934
205.0001, 4.998734, 31373, 11265, 20108
210.000058, 4.999958, 30579, 11140, 19439
215.000443, 5.000385, 29725, 10760, 18965
220.000007, 4.999564, 30686, 11130, 19556
225.000058, 5.000051, 30864, 11135, 19729
230.000057, 4.999999, 33617, 11833, 21784
235.001514, 5.001457, 29594, 10838, 18756
240.000044, 4.99853, 30118, 11023, 19095
245.000074, 5.00003, 30083, 10960, 19123
250.000077, 5.000003, 29700, 10990, 18710
255.000006, 4.999929, 31509, 11269, 20240
260.000062, 5.000056, 30244, 10992, 19252
265.000022, 4.99996, 29181, 10697, 18484
270.000053, 5.000031, 28870, 10410, 18460
275.000087, 5.000034, 30975, 11254, 19721
280.001563, 5.001476, 29329, 10624, 18705
285.000364, 4.998801, 31182, 11121, 20061
290.000021, 4.999657, 30340, 10933, 19407
295.000019, 4.999998, 32373, 11648, 20725
300.000028, 5.000009, 29024, 10524, 18500
301.022764, 1.022736, 5922, 2142, 3780
