elapsed, window, n, min, mean, max, errors
5.000196, 5.000196,4700781, 5729,71420.1, 272689,0
10.000404, 5.000208,4633606, 10468,83651.2, 315277,0
15.000366, 4.999962,4575032, 10307,83895.8, 344443,0
20.000056, 4.99969,4597210, 11066,83889.8, 384860,0
25.000364, 5.000308,4538610, 11345,83939.4, 272491,0
30.00048, 5.000116,4581365, 10733,83966.6, 306708,0
35.000639, 5.000159,4537980, 10746,84024.5, 289921,0
40.001127, 5.000488,4610557, 10434,83944.3, 294121,0
45.000115, 4.998988,4536070, 10768,84202.8, 322011,0
50.000137, 5.000022,4571762, 10607,84178.6, 308748,0
55.000028, 4.999891,4537695, 11000,84162.2, 307117,0
60.000833, 5.000805,4566075, 11000,84147.2, 294730,0
65.000134, 4.999301,4527800, 11304,84272.9, 310559,0
70.001123, 5.000989,4582895, 11030,84261.4, 272425,0
75.000313, 4.99919,4520160, 11541,84480.1, 316109,0
80.001172, 5.000859,4576366, 11076,84353.3, 343129,0
85.000305, 4.999133,4525097, 9352,84327.5, 343129,0
90.0008, 5.000495,4561506, 10349,84247.6, 269523,0
95.000112, 4.999312,4532891, 11278,84314.2, 323251,0
100.000083, 4.999971,4584887, 12191,84095.2, 323204,0
105.000102, 5.000019,4544197, 11848,84136.1, 309819,0
110.000554, 5.000452,4590517, 10043,83868.3, 334978,0
115.000949, 5.000395,4545020, 10802,83887.3, 359786,0
120.00015, 4.999201,4592353, 12236,83713, 294999,0
125.000628, 5.000478,4575615, 10996,83669.7, 363453,0
130.000252, 4.999624,4586478, 11175,83699.8, 363453,0
135.000026, 4.999774,4573383, 11316,83751.5, 312756,0
140.000828, 5.000802,4597924, 11424,83630.6, 344890,0
145.000056, 4.999228,4571952, 12164,83681.5, 344890,0
150.000128, 5.000072,4587766, 11495,83658, 329415,0
155.000181, 5.000053,4581698, 12815,83695.3, 293621,0
160.00122, 5.001039,4591488, 10555,83784.9, 394037,0
165.000109, 4.998889,4571902, 11952,83733.7, 308670,0
170.000033, 4.999924,4589008, 11462,83729.7, 306710,0
175.000391, 5.000358,4563307, 9754,83660.3, 278253,0
180.000085, 4.999694,4594357, 11636,83657.8, 312380,0
185.000043, 4.999958,4575082, 11639,83776, 342646,0
190.001117, 5.001074,4581571, 9868,83828.7, 287557,0
195.001169, 5.000052,4557320, 9417,83948.5, 306521,0
200.000162, 4.998993,4593487, 11676,83713.1, 299833,0
205.000111, 4.999949,4560682, 11157,83750.5, 334321,0
210.000079, 4.999968,4580447, 10939,83811.1, 317844,0
215.000125, 5.000046,4570284, 10008,83719.1, 309158,0
220.000179, 5.000054,4597548, 11454,83653.8, 309158,0
225.000201, 5.000022,4573053, 9323,83678.2, 299655,0
230.000237, 5.000036,4604794, 11321,83505, 332692,0
235.000087, 4.99985,4574052, 11321,83583.3, 362756,0
240.000478, 5.000391,4597079, 9980,83565.4, 316441,0
245.000064, 4.999586,4595183, 11378,83449.4, 316441,0
250.000412, 5.000348,4613133, 10234,83388.9, 268953,0
255.000282, 4.99987,4583092, 9621,83314, 272592,0
260.000035, 4.999753,4606834, 8910,83353.2, 263077,0
265.000063, 5.000028,4595151, 12224,83191.6, 277914,0
270.001097, 5.001034,4626420, 11059,83213.7, 341304,0
275.000146, 4.999049,4597258, 11396,83265.5, 301930,0
280.00044, 5.000294,4614543, 10642,83342.7, 281642,0
285.000118, 4.999678,4593871, 11938,83231.6, 305159,0
290.000552, 5.000434,4626198, 11777,83176.2, 294034,0
295.000078, 4.999526,4594973, 11020,83179.1, 304671,0
300.000302, 5.000224,4630706, 11131,83207.3, 316938,0
301.273678, 1.273376,392303, 9377,83277.1, 316938,0

