elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.00025, 5.00025, 37249, 5944, 47701.0, 48735, 70021, 88703, 116975, 153071, 4852
10.000292, 5.000042, 36438, 5944, 47188.0, 48708, 67860, 79004, 98536, 120487, 4932
15.000014, 4.999722, 36970, 6404, 47309.4, 48837, 67897, 78479, 99632, 124372, 4971
20.000011, 4.999997, 37112, 6283, 47588.7, 49082, 68851, 80654, 98462, 119878, 4906
25.000346, 5.000335, 37958, 6559, 47735.9, 49228, 68931, 79069, 97796, 110576, 4961
30.000018, 4.999672, 38126, 6850, 47470.6, 48926, 68485, 79611, 96471, 115422, 4993
35.000035, 5.000017, 37810, 6500, 47923.1, 49358, 69089, 79880, 98341, 123228, 5003
40.000017, 4.999982, 38539, 6316, 48100.7, 49567, 69486, 79522, 94809, 112986, 4948
45.000226, 5.000209, 38182, 6794, 48003.3, 49430, 69537, 80798, 100738, 126108, 5041
50.000022, 4.999796, 37902, 6531, 48115.9, 49598, 69824, 80536, 99053, 141580, 4960
55.000273, 5.000251, 37896, 6304, 47993.3, 49468, 69379, 79615, 97995, 117480, 5014
60.000453, 5.00018, 37532, 6719, 48111.9, 49571, 69463, 79906, 97918, 119808, 5014
65.000049, 4.999596, 38461, 6540, 48174.2, 49634, 69617, 80068, 96463, 113009, 4997
70.000072, 5.000023, 37470, 6594, 48191.7, 49589, 69902, 80841, 97409, 115788, 4899
75.000014, 4.999942, 37510, 6879, 48046.1, 49467, 69787, 80945, 99011, 130732, 4896
80.000111, 5.000097, 38780, 6085, 48161.9, 49592, 70020, 81305, 98033, 123106, 4998
85.000024, 4.999913, 38665, 5936, 48418.1, 49739, 70324, 81164, 100160, 125947, 5023
90.000016, 4.999992, 37856, 6409, 48139.9, 49576, 69743, 80561, 97358, 117879, 4947
95.000084, 5.000068, 36652, 5959, 48473.2, 49925, 70395, 81121, 97914, 131560, 4852
100.000223, 5.000139, 37963, 6271, 48613.4, 50055, 70357, 82600, 103264, 131560, 4915
105.000007, 4.999784, 37445, 6415, 48621.9, 50011, 70491, 82945, 103633, 121951, 5018
110.000197, 5.00019, 37695, 6597, 48246.1, 49751, 69825, 80953, 98577, 117247, 4974
115.000018, 4.999821, 38107, 6680, 48752.5, 50231, 70757, 81464, 99436, 127526, 5067
120.000305, 5.000287, 37109, 6659, 48407.7, 49958, 70268, 81099, 101904, 136171, 4820
125.000256, 4.999951, 38062, 7116, 48342.2, 49830, 70331, 80959, 98529, 115139, 4892
130.000015, 4.999759, 38292, 6593, 48525.8, 49952, 70654, 81903, 99673, 129920, 4972
135.000014, 4.999999, 38324, 6668, 48829.8, 50212, 71338, 82635, 101121, 135965, 4811
140.001171, 5.001157, 37520, 6450, 48788.7, 50214, 70840, 81912, 99696, 124960, 4942
145.000226, 4.999055, 37987, 6833, 48888.4, 50289, 71139, 83306, 102618, 131277, 5014
150.000029, 4.999803, 37948, 6442, 48653.0, 49983, 70608, 83016, 104349, 119857, 4941
155.000008, 4.999979, 37471, 6854, 48477.5, 49943, 70230, 81119, 98051, 119289, 4987
160.000072, 5.000064, 37685, 6024, 48730.6, 50201, 70520, 81583, 99065, 121524, 4959
165.000013, 4.999941, 37565, 6024, 48373.7, 49793, 70520, 82057, 99887, 141230, 4894
170.000015, 5.000002, 38747, 6491, 48398.3, 49986, 70417, 80696, 94512, 111922, 5102
175.000067, 5.000052, 37834, 6716, 48924.8, 50337, 71198, 81995, 100804, 159025, 4957
180.000455, 5.000388, 37893, 6411, 48980.2, 50379, 71366, 82643, 101604, 114306, 4965
185.000072, 4.999617, 37591, 6512, 49353.8, 50746, 72189, 83420, 100138, 121072, 5068
190.00002, 4.999948, 37870, 6512, 49141.4, 50484, 71779, 83600, 100202, 121625, 4970
195.000531, 5.000511, 36856, 6754, 49295.0, 50628, 72168, 84437, 102105, 134385, 4932
200.000037, 4.999506, 37360, 5871, 49277.5, 50508, 72428, 84728, 104091, 134385, 4861
205.000713, 5.000676, 38555, 7091, 49211.4, 50615, 71820, 82877, 99639, 123945, 5014
210.000019, 4.999306, 37448, 6600, 49309.0, 50663, 71816, 84325, 103146, 123701, 4968
215.00005, 5.000031, 37984, 6496, 49508.6, 50891, 72474, 83675, 103580, 142149, 4964
220.000023, 4.999973, 37101, 6862, 49137.0, 50555, 71858, 83125, 102751, 124181, 4875
225.000059, 5.000036, 38285, 7255, 49424.2, 50774, 72525, 84241, 101056, 120081, 4962
230.000023, 4.999964, 36633, 6824, 49488.8, 50843, 72375, 84887, 100922, 136432, 4909
235.000038, 5.000015, 38999, 6393, 49830.4, 51170, 73003, 84503, 98127, 144035, 4974
240.000349, 5.000311, 38839, 6700, 49746.7, 51039, 72690, 84003, 100769, 134889, 4957
245.000043, 4.999694, 38551, 6537, 49792.7, 51102, 73079, 84372, 101514, 124769, 4910
250.00002, 4.999977, 36815, 6787, 49610.5, 50991, 72509, 84706, 103627, 136670, 4972
255.000307, 5.000287, 37756, 6518, 49152.9, 50517, 71930, 83724, 101077, 119184, 4906
260.000212, 4.999905, 38497, 6802, 49779.2, 51187, 72904, 82955, 98012, 116224, 4941
265.00003, 4.999818, 38299, 6820, 49925.8, 51281, 73123, 85012, 101394, 128780, 4992
270.000151, 5.000121, 38199, 6172, 49645.4, 50897, 72950, 84965, 102619, 127901, 4862
275.000043, 4.999892, 37578, 6542, 49991.2, 51275, 73387, 85511, 102454, 135086, 5023
280.000011, 4.999968, 38071, 6544, 49948.4, 51314, 73304, 85461, 102243, 122345, 4882
285.000018, 5.000007, 37792, 6309, 49970.0, 51205, 72863, 84246, 103122, 129078, 4949
290.000048, 5.00003, 38816, 7269, 49875.4, 51165, 73209, 85319, 101689, 122618, 4934
295.000012, 4.999964, 38875, 6209, 50131.2, 51419, 74205, 86266, 102544, 126588, 5142
300.000015, 5.000003, 38559, 6967, 50080.5, 51405, 73439, 85178, 103332, 129154, 4896
301.024205, 1.02419, 7012, 6999, 49991.7, 51303, 73369, 85002, 103710, 131802, 955
