elapsed, window, total, successful, failed
5.00007, 5.00007, 222079, 222079, 0
10.000039, 4.999969, 214758, 214758, 0
15.000054, 5.000015, 211852, 211852, 0
20.000032, 4.999978, 212480, 212480, 0
25.000256, 5.000224, 212939, 212939, 0
30.000009, 4.999753, 213126, 213126, 0
35.000409, 5.0004, 213894, 213894, 0
40.000018, 4.999609, 213849, 213849, 0
45.000066, 5.000048, 211530, 211530, 0
50.000489, 5.000423, 213209, 213209, 0
55.000008, 4.999519, 212310, 212310, 0
60.00007, 5.000062, 212799, 212799, 0
65.000015, 4.999945, 213134, 213134, 0
70.000126, 5.000111, 211130, 211130, 0
75.000116, 4.99999, 214213, 214213, 0
80.000012, 4.999896, 215616, 215616, 0
85.000008, 4.999996, 213125, 213125, 0
90.000291, 5.000283, 210734, 210734, 0
95.00099, 5.000699, 213456, 213456, 0
100.000277, 4.999287, 212673, 212673, 0
105.000042, 4.999765, 213841, 213841, 0
110.000223, 5.000181, 215214, 215214, 0
115.000116, 4.999893, 214164, 214164, 0
120.000267, 5.000151, 213552, 213552, 0
125.000121, 4.999854, 214123, 214123, 0
130.000242, 5.000121, 213837, 213837, 0
135.000016, 4.999774, 212290, 212290, 0
140.00123, 5.001214, 213129, 213129, 0
145.000014, 4.998784, 213384, 213384, 0
150.000061, 5.000047, 213147, 213147, 0
155.000138, 5.000077, 213320, 213320, 0
160.000159, 5.000021, 214196, 214196, 0
165.000017, 4.999858, 212416, 212416, 0
170.000464, 5.000447, 212329, 212329, 0
175.001231, 5.000767, 211463, 211463, 0
180.000058, 4.998827, 214459, 214459, 0
185.000274, 5.000216, 212528, 212528, 0
190.000297, 5.000023, 210737, 210737, 0
195.000228, 4.999931, 210911, 210911, 0
200.000301, 5.000073, 210978, 210978, 0
205.000081, 4.99978, 214232, 214232, 0
210.000371, 5.00029, 213044, 213044, 0
215.000307, 4.999936, 212926, 212926, 0
220.000029, 4.999722, 213581, 213581, 0
225.000255, 5.000226, 213067, 213067, 0
230.001267, 5.001012, 212845, 212845, 0
235.000274, 4.999007, 212494, 212494, 0
240.00009, 4.999816, 215362, 215362, 0
245.00001, 4.99992, 212745, 212745, 0
250.001226, 5.001216, 213301, 213301, 0
255.000018, 4.998792, 213991, 213991, 0
260.000295, 5.000277, 212919, 212919, 0
265.000268, 4.999973, 211677, 211677, 0
270.000075, 4.999807, 211969, 211969, 0
275.000249, 5.000174, 214783, 214783, 0
280.000039, 4.99979, 212611, 212611, 0
285.000095, 5.000056, 211708, 211708, 0
290.000394, 5.000299, 212834, 212834, 0
295.001302, 5.000908, 211471, 211471, 0
300.000296, 4.998994, 212960, 212960, 0
301.041124, 1.040828, 31148, 31148, 0
