elapsed, window, total, successful, failed
5.000045, 5.000045, 62124, 54814, 7310
10.00018, 5.000135, 60807, 55832, 4975
15.00012, 4.99994, 59900, 55779, 4121
20.000323, 5.000203, 59548, 55844, 3704
25.000008, 4.999685, 60240, 56771, 3469
30.000248, 5.00024, 59790, 56775, 3015
35.00008, 4.999832, 60578, 57851, 2727
40.000066, 4.999986, 59967, 57236, 2731
45.000347, 5.000281, 60083, 57409, 2674
50.000005, 4.999658, 59938, 57540, 2398
55.000118, 5.000113, 60478, 58268, 2210
60.000073, 4.999955, 60192, 58053, 2139
65.000118, 5.000045, 59598, 57498, 2100
70.00001, 4.999892, 57969, 56101, 1868
75.000031, 5.000021, 60322, 58309, 2013
80.000097, 5.000066, 60179, 58219, 1960
85.00002, 4.999923, 59051, 57049, 2002
90.000047, 5.000027, 60003, 58051, 1952
95.000083, 5.000036, 59385, 57625, 1760
100.000042, 4.999959, 59110, 57499, 1611
105.000233, 5.000191, 58593, 57034, 1559
110.000024, 4.999791, 58588, 57047, 1541
115.000031, 5.000007, 58900, 57315, 1585
120.000081, 5.00005, 58747, 57142, 1605
125.000029, 4.999948, 58800, 57359, 1441
130.000017, 4.999988, 59677, 58262, 1415
135.000013, 4.999996, 58887, 57459, 1428
140.00004, 5.000027, 58959, 57482, 1477
145.000042, 5.000002, 57774, 56269, 1505
150.000064, 5.000022, 58353, 57023, 1330
155.000023, 4.999959, 58740, 57239, 1501
160.000059, 5.000036, 58416, 56972, 1444
165.000238, 5.000179, 57285, 55951, 1334
170.000156, 4.999918, 57695, 56446, 1249
175.000157, 5.000001, 58332, 57006, 1326
180.000153, 4.999996, 57420, 56074, 1346
185.000049, 4.999896, 58030, 56687, 1343
190.0002, 5.000151, 58828, 57624, 1204
195.000359, 5.000159, 58251, 56936, 1315
200.000015, 4.999656, 58064, 56821, 1243
205.000064, 5.000049, 57425, 56101, 1324
210.000136, 5.000072, 56290, 54993, 1297
215.000253, 5.000117, 57200, 55974, 1226
220.00002, 4.999767, 57846, 56530, 1316
225.000012, 4.999992, 57397, 56041, 1356
230.00009, 5.000078, 56996, 55926, 1070
235.000079, 4.999989, 57396, 56300, 1096
240.000118, 5.000039, 57478, 56243, 1235
245.000071, 4.999953, 57676, 56361, 1315
250.000057, 4.999986, 56720, 55562, 1158
255.000083, 5.000026, 56337, 55215, 1122
260.00003, 4.999947, 56451, 55347, 1104
265.000011, 4.999981, 56522, 55487, 1035
270.00005, 5.000039, 55980, 54823, 1157
275.000025, 4.999975, 55396, 54335, 1061
280.000041, 5.000016, 56712, 55694, 1018
285.000049, 5.000008, 55535, 54588, 947
290.000017, 4.999968, 56238, 55216, 1022
295.000149, 5.000132, 55798, 54866, 932
300.000051, 4.999902, 54705, 53671, 1034
301.02172, 1.021669, 10474, 10231, 243
