elapsed, window, n, min, mean, max, errors
5.00002, 5.00002,425813, 6440,50960.5, 147434,0
10.00004, 5.00002,416123, 6726,51858.9, 154212,0
15.000023, 4.999983,413619, 6338,52239.2, 196738,0
20.000011, 4.999988,412648, 7563,52372.2, 245415,0
25.00009, 5.000079,415294, 6891,52059.7, 216520,0
30.000113, 5.000023,414753, 6891,52144.1, 233365,0
35.001128, 5.001015,416809, 5975,52074.7, 228597,0
40.000011, 4.998883,418943, 7336,51685.4, 151608,0
45.000008, 4.999997,414327, 7232,52027.5, 211979,0
50.00005, 5.000042,417295, 7198,51736.6, 172030,0
55.000073, 5.000023,417779, 7103,51806.4, 170614,0
60.000231, 5.000158,417786, 6431,51715.8, 170155,0
65.000024, 4.999793,416736, 7112,51917.3, 206319,0
70.000026, 5.000002,414206, 7071,52171.6, 212277,0
75.000112, 5.000086,416195, 6105,51858.3, 185998,0
80.0001, 4.999988,415649, 6304,51807.1, 190956,0
85.000024, 4.999924,417799, 7769,51842.2, 162845,0
90.000011, 4.999987,413076, 7241,52263.3, 188464,0
95.000205, 5.000194,417211, 6986,51865.6, 168830,0
100.000006, 4.999801,417408, 7039,51944.9, 165089,0
105.000017, 5.000011,415276, 7491,52119.1, 165048,0
110.000115, 5.000098,415427, 6926,52182, 182009,0
115.000059, 4.999944,410454, 7140,52629.5, 252681,0
120.000083, 5.000024,412760, 7300,52490.9, 211920,0
125.00002, 4.999937,413836, 6160,52242, 157375,0
130.000038, 5.000018,415257, 6604,52136.7, 200630,0
135.000013, 4.999975,415754, 6604,52045.6, 195176,0
140.000118, 5.000105,414082, 7846,52219.3, 169428,0
145.000023, 4.999905,412992, 6796,52170.9, 205676,0
150.000069, 5.000046,414285, 5652,52162.5, 143587,0
155.000168, 5.000099,411116, 7005,52520.4, 227093,0
160.00015, 4.999982,414761, 7078,52245.8, 188333,0
165.000012, 4.999862,413928, 7127,52237.5, 196826,0
170.000023, 5.000011,410258, 6953,52689.3, 243355,0
175.000029, 5.000006,409173, 7468,52773.6, 236052,0
180.000008, 4.999979,411185, 6376,52458.1, 194370,0
185.00017, 5.000162,408904, 7714,52874.3, 252046,0
190.000089, 4.999919,411074, 7818,52556.9, 216257,0
195.00016, 5.000071,414487, 7586,52026.3, 127203,0
200.000035, 4.999875,414834, 8074,52122.4, 165534,0
205.000125, 5.00009,410766, 7298,52538.5, 185192,0
210.000015, 4.99989,413626, 6930,52432.3, 192344,0
215.000045, 5.00003,405723, 6698,53222.3, 321131,0
220.000016, 4.999971,407568, 6837,53090.7, 268471,0
225.000087, 5.000071,410413, 7809,52886.2, 250034,0
230.000232, 5.000145,407193, 5749,53041.6, 199914,0
235.000155, 4.999923,408666, 6580,52901.1, 215982,0
240.000032, 4.999877,408230, 7423,52984, 269562,0
245.000043, 5.000011,408219, 7399,53034.7, 209439,0
250.000113, 5.00007,405391, 7695,53195.9, 222970,0
255.000235, 5.000122,404083, 6019,53379.9, 222970,0
260.000035, 4.9998,404848, 6919,53221.5, 238384,0
265.000136, 5.000101,404860, 6919,53346.8, 245588,0
270.000021, 4.999885,402301, 7188,53729.6, 245225,0
275.000105, 5.000084,407447, 7188,53233, 219053,0
280.000025, 4.99992,398444, 6713,54057.5, 329098,0
285.000017, 4.999992,407029, 6562,53182.7, 291428,0
290.000112, 5.000095,402313, 6562,53533.4, 251718,0
295.000174, 5.000062,404100, 7093,53483.9, 240472,0
300.00011, 4.999936,404772, 7443,53491.9, 192388,0
301.021115, 1.021005,79161, 7443,53390.4, 192388,0

