elapsed, window, total, successful, failed
5.000253, 5.000253, 561114, 561114, 0
10.000143, 4.99989, 504331, 504331, 0
15.000746, 5.000603, 501137, 501137, 0
20.000082, 4.999336, 499656, 499656, 0
25.000077, 4.999995, 492478, 492478, 0
30.000304, 5.000227, 497514, 497514, 0
35.000031, 4.999727, 494055, 494055, 0
40.0006, 5.000569, 496164, 496164, 0
45.000321, 4.999721, 496436, 496436, 0
50.000571, 5.00025, 496365, 496365, 0
55.000057, 4.999486, 490675, 490675, 0
60.000693, 5.000636, 495348, 495348, 0
65.00039, 4.999697, 491897, 491897, 0
70.000844, 5.000454, 495491, 495491, 0
75.000057, 4.999213, 491200, 491200, 0
80.000048, 4.999991, 493431, 493431, 0
85.000269, 5.000221, 487220, 487220, 0
90.000439, 5.00017, 492406, 492406, 0
95.000187, 4.999748, 488455, 488455, 0
100.000332, 5.000145, 494981, 494981, 0
105.00011, 4.999778, 487529, 487529, 0
110.000277, 5.000167, 493515, 493515, 0
115.00026, 4.999983, 492461, 492461, 0
120.000127, 4.999867, 493450, 493450, 0
125.000213, 5.000086, 493954, 493954, 0
130.000107, 4.999894, 491861, 491861, 0
135.000233, 5.000126, 491767, 491767, 0
140.000171, 4.999938, 493658, 493658, 0
145.000956, 5.000785, 493546, 493546, 0
150.000183, 4.999227, 493704, 493704, 0
155.000008, 4.999825, 491824, 491824, 0
160.000159, 5.000151, 493381, 493381, 0
165.000053, 4.999894, 490457, 490457, 0
170.000121, 5.000068, 498202, 498202, 0
175.00009, 4.999969, 486647, 486647, 0
180.000544, 5.000454, 493508, 493508, 0
185.000475, 4.999931, 492391, 492391, 0
190.000407, 4.999932, 496041, 496041, 0
195.000049, 4.999642, 486904, 486904, 0
200.000214, 5.000165, 494870, 494870, 0
205.00001, 4.999796, 488623, 488623, 0
210.000016, 5.000006, 496524, 496524, 0
215.000196, 5.00018, 492155, 492155, 0
220.000042, 4.999846, 494958, 494958, 0
225.000292, 5.00025, 494354, 494354, 0
230.000043, 4.999751, 490942, 490942, 0
235.000112, 5.000069, 486237, 486237, 0
240.00007, 4.999958, 495894, 495894, 0
245.000677, 5.000607, 494880, 494880, 0
250.000629, 4.999952, 494905, 494905, 0
255.000166, 4.999537, 489617, 489617, 0
260.0004, 5.000234, 495514, 495514, 0
265.00014, 4.99974, 493521, 493521, 0
270.000688, 5.000548, 491797, 491797, 0
275.000119, 4.999431, 493285, 493285, 0
280.000211, 5.000092, 499133, 499133, 0
285.00007, 4.999859, 491347, 491347, 0
290.000575, 5.000505, 499420, 499420, 0
295.000016, 4.999441, 488056, 488056, 0
300.000075, 5.000059, 503456, 503456, 0
301.154985, 1.15491, 8122, 8122, 0
