elapsed, window, n, min, mean, max, errors
5.000043, 5.000043,36085, 6039,63762.6, 456673,16086
10.000014, 4.999971,37740, 5811,70698.1, 678902,9871
15.000009, 4.999995,39253, 7260,73758, 413846,8824
20.000039, 5.00003,39056, 6450,73743.2, 341279,8401
25.000017, 4.999978,40012, 7668,73502.9, 445579,7700
30.000026, 5.000009,40356, 7807,72765.1, 651879,6732
35.000097, 5.000071,40569, 5862,73993.8, 735295,6511
40.00009, 4.999993,41351, 8671,74354.4, 451437,6477
45.000072, 4.999982,41449, 6840,74308, 478167,6101
50.000119, 5.000047,41304, 7790,73201.4, 707468,5471
55.000015, 4.999896,41687, 8103,74707.3, 675631,5987
60.000072, 5.000057,42246, 7210,74610.3, 506944,5603
65.000122, 5.00005,42209, 6612,73615.2, 665752,4985
70.000102, 4.99998,41881, 7386,75213.7, 660027,4872
75.000072, 4.99997,41896, 7954,75692.9, 486089,5157
80.000169, 5.000097,41408, 9198,75333.5, 509261,4859
85.000016, 4.999847,42715, 6847,73875.3, 696361,4804
90.000055, 5.000039,42340, 6800,74521.8, 1055932,4322
95.000082, 5.000027,41321, 6800,75240.1, 737046,4390
100.000148, 5.000066,42134, 5797,74761, 577604,3974
105.001161, 5.001013,41928, 7378,76207.9, 828001,4162
110.000156, 4.998995,41973, 5859,77332.6, 781200,4445
115.000164, 5.000008,42949, 6626,76357.9, 619442,4041
120.000078, 4.999914,42842, 7569,76377.8, 715820,4021
125.000007, 4.999929,43063, 7196,75095.7, 647954,4054
130.00003, 5.000023,44129, 7714,74315.9, 653628,3890
135.000034, 5.000004,43793, 6843,74983.6, 717900,3718
140.000085, 5.000051,43555, 6751,75886.3, 681508,3585
145.000049, 4.999964,42954, 7128,77830.3, 663675,4151
150.000134, 5.000085,43559, 6697,77395.9, 618172,3972
155.000029, 4.999895,43187, 8724,76663, 551886,3797
160.000022, 4.999993,43633, 8290,76866.5, 551886,3850
165.000092, 5.00007,43376, 7196,76521.1, 532307,3620
170.000091, 4.999999,43638, 5966,76668.7, 375749,3787
175.000011, 4.99992,43457, 7817,76157.7, 490357,3753
180.000016, 5.000005,43274, 6434,75013.1, 712818,3440
185.000143, 5.000127,43452, 6531,74262.6, 1040852,3081
190.000046, 4.999903,43830, 6531,75201.6, 1040852,3295
195.000254, 5.000208,42530, 5609,74020, 1018469,2940
200.000008, 4.999754,43578, 6418,74748.4, 733022,3143
205.000167, 5.000159,44801, 6651,74335.1, 872711,2965
210.000024, 4.999857,44007, 6299,74552.6, 1205233,2964
215.000087, 5.000063,43872, 8344,74670.8, 981451,2992
220.000018, 4.999931,43735, 6491,74915.8, 953279,2666
225.000019, 5.000001,43961, 7630,77191.7, 780213,3023
230.000087, 5.000068,42779, 6205,77627.4, 845641,3074
235.000092, 5.000005,44068, 8907,76596.3, 660344,2975
240.000047, 4.999955,45111, 7652,77415.2, 480148,3271
245.000025, 4.999978,43826, 6653,77564.8, 815346,3061
250.000015, 4.99999,44247, 7599,77097.2, 471250,2869
255.000166, 5.000151,43550, 7383,76594.5, 469459,2766
260.000374, 5.000208,44032, 7123,76389.3, 558738,2756
265.000079, 4.999705,44329, 5981,76467.5, 634865,2741
270.000008, 4.999929,44354, 6912,75810.4, 599580,2728
275.000022, 5.000014,43691, 5814,75520, 739297,2630
280.000162, 5.00014,43728, 5814,76368.8, 865585,2534
285.00007, 4.999908,42815, 5721,77210.5, 837208,2670
290.000018, 4.999948,42762, 6851,80055.8, 767249,2976
295.00003, 5.000012,43235, 7046,78884.9, 870534,3141
300.000021, 4.999991,44290, 6629,77641.2, 636217,2811
301.023342, 1.023321,9845, 6629,74367.1, 636217,714

