elapsed, window, total, successful, failed
5.000685, 5.000685, 49669, 13851, 35818
10.000035, 4.99935, 54993, 15198, 39795
15.000107, 5.000072, 56979, 15741, 41238
20.000032, 4.999925, 56593, 15674, 40919
25.000288, 5.000256, 55789, 15540, 40249
30.000063, 4.999775, 55487, 15506, 39981
35.000087, 5.000024, 55772, 15243, 40529
40.000055, 4.999968, 57256, 15985, 41271
45.000017, 4.999962, 57060, 16130, 40930
50.000072, 5.000055, 55744, 15562, 40182
55.000053, 4.999981, 55501, 15122, 40379
60.000057, 5.000004, 55093, 14992, 40101
65.000132, 5.000075, 54446, 14969, 39477
70.000025, 4.999893, 55624, 15237, 40387
75.000118, 5.000093, 55664, 15550, 40114
80.000014, 4.999896, 56547, 15769, 40778
85.000048, 5.000034, 56475, 15984, 40491
90.000017, 4.999969, 56330, 15891, 40439
95.000024, 5.000007, 56703, 16123, 40580
100.000013, 4.999989, 56758, 15761, 40997
105.000023, 5.00001, 55157, 15333, 39824
110.000648, 5.000625, 55775, 15592, 40183
115.000029, 4.999381, 55902, 15234, 40668
120.00004, 5.000011, 55816, 15369, 40447
125.000049, 5.000009, 56662, 15791, 40871
130.000017, 4.999968, 56540, 15718, 40822
135.000009, 4.999992, 55912, 15519, 40393
140.000057, 5.000048, 55462, 15514, 39948
145.000025, 4.999968, 56071, 15559, 40512
150.000125, 5.0001, 55433, 14983, 40450
155.000046, 4.999921, 55865, 15507, 40358
160.000008, 4.999962, 55158, 15328, 39830
165.000039, 5.000031, 52874, 14972, 37902
170.000365, 5.000326, 55691, 15228, 40463
175.000009, 4.999644, 57130, 15568, 41562
180.000033, 5.000024, 56294, 15443, 40851
185.00005, 5.000017, 56458, 15726, 40732
190.000241, 5.000191, 55883, 15399, 40484
195.00012, 4.999879, 55168, 15142, 40026
200.0008, 5.00068, 55185, 15425, 39760
205.000273, 4.999473, 56384, 15775, 40609
210.000156, 4.999883, 55748, 15459, 40289
215.000014, 4.999858, 56239, 15493, 40746
220.000118, 5.000104, 55486, 15292, 40194
225.00005, 4.999932, 55808, 15437, 40371
230.000052, 5.000002, 55139, 15058, 40081
235.000027, 4.999975, 55109, 15915, 39194
240.000189, 5.000162, 53746, 16058, 37688
245.000033, 4.999844, 54504, 16291, 38213
250.000027, 4.999994, 54224, 16094, 38130
255.000023, 4.999996, 53629, 16015, 37614
260.000693, 5.00067, 54717, 16270, 38447
265.000044, 4.999351, 54603, 16377, 38226
270.000052, 5.000008, 53340, 15670, 37670
275.000048, 4.999996, 53810, 15961, 37849
280.000027, 4.999979, 53574, 15821, 37753
285.000037, 5.00001, 54579, 15466, 39113
290.000157, 5.00012, 56503, 15730, 40773
295.000049, 4.999892, 55531, 15403, 40128
300.000019, 4.99997, 54950, 15195, 39755
301.032033, 1.032014, 11280, 2849, 8431
