elapsed, window, total, successful, failed
5.000158, 5.000158, 51635, 45409, 6226
10.000023, 4.999865, 44069, 40828, 3241
15.000028, 5.000005, 44383, 41768, 2615
20.000131, 5.000103, 42942, 40662, 2280
25.000039, 4.999908, 42609, 40574, 2035
30.000023, 4.999984, 43384, 41467, 1917
35.000089, 5.000066, 44333, 42611, 1722
40.000104, 5.000015, 43797, 42162, 1635
45.000012, 4.999908, 43612, 42158, 1454
50.000066, 5.000054, 43432, 41935, 1497
55.000059, 4.999993, 43297, 41934, 1363
60.00005, 4.999991, 42118, 40858, 1260
65.000115, 5.000065, 42915, 41579, 1336
70.000028, 4.999913, 44366, 43158, 1208
75.000022, 4.999994, 44344, 43211, 1133
80.000138, 5.000116, 42127, 41041, 1086
85.000126, 4.999988, 41983, 40890, 1093
90.000018, 4.999892, 43188, 42036, 1152
95.000021, 5.000003, 41495, 40516, 979
100.000098, 5.000077, 44229, 43195, 1034
105.00012, 5.000022, 43023, 42029, 994
110.000152, 5.000032, 42901, 41950, 951
115.000112, 4.99996, 44597, 43635, 962
120.000006, 4.999894, 42907, 42003, 904
125.000038, 5.000032, 42192, 41300, 892
130.000031, 4.999993, 43606, 42604, 1002
135.000081, 5.00005, 42847, 41934, 913
140.000025, 4.999944, 43448, 42516, 932
145.000129, 5.000104, 43228, 42335, 893
150.000023, 4.999894, 43870, 43050, 820
155.000036, 5.000013, 42689, 41942, 747
160.000011, 4.999975, 42532, 41777, 755
165.000011, 5.0, 43773, 43008, 765
170.000035, 5.000024, 40445, 39770, 675
175.000072, 5.000037, 41758, 40937, 821
180.000077, 5.000005, 41546, 40782, 764
185.000016, 4.999939, 43758, 42981, 777
190.000064, 5.000048, 42835, 42111, 724
195.000018, 4.999954, 43630, 42859, 771
200.000074, 5.000056, 42444, 41707, 737
205.000011, 4.999937, 42962, 42238, 724
210.000085, 5.000074, 42710, 41924, 786
215.000079, 4.999994, 43600, 42895, 705
220.000006, 4.999927, 41609, 40930, 679
225.00016, 5.000154, 42364, 41713, 651
230.000249, 5.000089, 42238, 41591, 647
235.000119, 4.99987, 39248, 38661, 587
240.000225, 5.000106, 40970, 40390, 580
245.000019, 4.999794, 41535, 40974, 561
250.000066, 5.000047, 41242, 40620, 622
255.000229, 5.000163, 40327, 39697, 630
260.000053, 4.999824, 40093, 39499, 594
265.00002, 4.999967, 41642, 40968, 674
270.000009, 4.999989, 40469, 39815, 654
275.000053, 5.000044, 43493, 42893, 600
280.000015, 4.999962, 42403, 41816, 587
285.000054, 5.000039, 41838, 41346, 492
290.000107, 5.000053, 43460, 42885, 575
295.000092, 4.999985, 39533, 38949, 584
300.000033, 4.999941, 41552, 40967, 585
301.022854, 1.022821, 8254, 8139, 115
