elapsed, window, total, successful, failed
5.000433, 5.000433, 43033, 10641, 32392
10.000046, 4.999613, 49087, 13077, 36010
15.000045, 4.999999, 50072, 13390, 36682
20.000018, 4.999973, 48352, 13638, 34714
25.000324, 5.000306, 49420, 13333, 36087
30.00006, 4.999736, 50046, 13658, 36388
35.000017, 4.999957, 49439, 13239, 36200
40.000019, 5.000002, 50451, 13710, 36741
45.000041, 5.000022, 48808, 13708, 35100
50.00009, 5.000049, 50003, 13697, 36306
55.000027, 4.999937, 47748, 13168, 34580
60.00011, 5.000083, 49855, 13902, 35953
65.000122, 5.000012, 49036, 13559, 35477
70.000164, 5.000042, 48095, 13363, 34732
75.000059, 4.999895, 48920, 13856, 35064
80.000214, 5.000155, 48606, 13453, 35153
85.000471, 5.000257, 47216, 13159, 34057
90.000009, 4.999538, 48194, 13946, 34248
95.000051, 5.000042, 47613, 13587, 34026
100.000022, 4.999971, 47362, 13641, 33721
105.000017, 4.999995, 47752, 13769, 33983
110.000033, 5.000016, 47888, 13985, 33903
115.000047, 5.000014, 47219, 13468, 33751
120.000014, 4.999967, 47811, 13529, 34282
125.00023, 5.000216, 47314, 13572, 33742
130.000019, 4.999789, 47170, 13397, 33773
135.000013, 4.999994, 47090, 13897, 33193
140.000057, 5.000044, 46854, 13477, 33377
145.000019, 4.999962, 48437, 14095, 34342
150.000022, 5.000003, 48622, 13377, 35245
155.000752, 5.00073, 47785, 13851, 33934
160.000022, 4.99927, 47516, 13690, 33826
165.000018, 4.999996, 47575, 13845, 33730
170.000039, 5.000021, 47787, 13696, 34091
175.000012, 4.999973, 47744, 13553, 34191
180.000076, 5.000064, 48385, 13751, 34634
185.000019, 4.999943, 47683, 13926, 33757
190.000069, 5.00005, 47563, 13739, 33824
195.000377, 5.000308, 47727, 14056, 33671
200.000181, 4.999804, 47604, 13580, 34024
205.000145, 4.999964, 47806, 13715, 34091
210.000017, 4.999872, 47635, 13895, 33740
215.000199, 5.000182, 47618, 13595, 34023
220.000047, 4.999848, 47848, 13698, 34150
225.000027, 4.99998, 47074, 13537, 33537
230.000056, 5.000029, 47299, 13614, 33685
235.000022, 4.999966, 47409, 13859, 33550
240.000033, 5.000011, 47994, 13875, 34119
245.000068, 5.000035, 47827, 13999, 33828
250.000042, 4.999974, 46826, 13561, 33265
255.000026, 4.999984, 47403, 13740, 33663
260.000033, 5.000007, 47219, 13564, 33655
265.00006, 5.000027, 47664, 13980, 33684
270.000131, 5.000071, 47163, 13630, 33533
275.000012, 4.999881, 47776, 13924, 33852
280.000201, 5.000189, 47190, 13651, 33539
285.000075, 4.999874, 47524, 13726, 33798
290.000039, 4.999964, 46512, 13455, 33057
295.000056, 5.000017, 47648, 13903, 33745
300.000013, 4.999957, 46881, 13612, 33269
301.032469, 1.032456, 7914, 2247, 5667
