elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000044, 5.000044, 62733, 5290, 59883.2, 33804, 215271, 323025, 462342, 700377, 0
10.000021, 4.999977, 59895, 3526, 62394.3, 34003, 224424, 353339, 473531, 616213, 0
15.000251, 5.00023, 56033, 3526, 68010.9, 34396, 261385, 394698, 569135, 828967, 0
20.000038, 4.999787, 50779, 3929, 73370.3, 34477, 273088, 439798, 694449, 991025, 0
25.000435, 5.000397, 53338, 3551, 72153.9, 34528, 274875, 416511, 603532, 869296, 0
30.000044, 4.999609, 52378, 3842, 70748.1, 34473, 264005, 397977, 585039, 853592, 0
35.000006, 4.999962, 48685, 3586, 77456.7, 34971, 298222, 451360, 611635, 811979, 0
40.000709, 5.000703, 53862, 4230, 70901.7, 34364, 270549, 401672, 579990, 889995, 0
45.000206, 4.999497, 52806, 3091, 71956.5, 34510, 269874, 409099, 580954, 847922, 0
50.000729, 5.000523, 54078, 3091, 70084.5, 34355, 258873, 428856, 597884, 906258, 0
55.000053, 4.999324, 53520, 3953, 69932.6, 34445, 260149, 402005, 564320, 884135, 0
60.000053, 5.0, 53416, 3432, 70363.7, 34322, 268380, 410223, 578532, 884135, 0
65.000165, 5.000112, 53147, 3965, 70707.8, 34451, 270618, 437608, 680508, 964322, 0
70.000038, 4.999873, 53320, 4188, 68889.5, 34400, 257116, 401328, 543780, 843365, 0
75.000017, 4.999979, 55955, 2983, 67433.0, 34387, 251315, 390738, 593319, 843365, 0
80.000013, 4.999996, 50999, 2983, 72444.0, 34677, 267807, 428813, 593884, 836299, 0
85.000106, 5.000093, 53572, 3631, 70686.4, 34476, 271689, 437141, 614486, 1184783, 0
90.000091, 4.999985, 51980, 3048, 72959.4, 34801, 274533, 452566, 663706, 949118, 0
95.000013, 4.999922, 51070, 5100, 74787.2, 34789, 298026, 443713, 633747, 924441, 0
100.000006, 4.999993, 52042, 3232, 72658.7, 34593, 281059, 425595, 651023, 964370, 0
105.000104, 5.000098, 51635, 4257, 73785.4, 34947, 285302, 418595, 579673, 824078, 0
110.000021, 4.999917, 53743, 3472, 70080.2, 35038, 256706, 375598, 521132, 792263, 0
115.000008, 4.999987, 52085, 3472, 73350.9, 35108, 282769, 431712, 656012, 885269, 0
120.000018, 5.00001, 53300, 4826, 71913.2, 35112, 264133, 401519, 557235, 907087, 0
125.000882, 5.000864, 54670, 2957, 69139.2, 34762, 251086, 398500, 600784, 997624, 0
130.000019, 4.999137, 54890, 3844, 68152.4, 34740, 251726, 390465, 531135, 764327, 0
135.000094, 5.000075, 52939, 3572, 70132.0, 34776, 261497, 437467, 710406, 1103559, 0
140.000017, 4.999923, 49813, 3122, 75853.6, 35155, 281762, 446963, 691204, 1007111, 0
145.000019, 5.000002, 53261, 4517, 71282.5, 34893, 273127, 405882, 629960, 957378, 0
150.000194, 5.000175, 49041, 3610, 75693.2, 34913, 291802, 429409, 633733, 907779, 0
155.00032, 5.000126, 53554, 3608, 70522.2, 34749, 267365, 406075, 581502, 795554, 0
160.00002, 4.9997, 51856, 2188, 71855.1, 34863, 274806, 429173, 570551, 846213, 0
165.000104, 5.000084, 52854, 3662, 72237.9, 34776, 277166, 408718, 586468, 757009, 0
170.000008, 4.999904, 50968, 5053, 74841.3, 35114, 287791, 438896, 667041, 1277672, 0
175.000212, 5.000204, 49931, 3402, 76377.2, 35032, 299677, 454105, 640468, 972656, 0
180.000107, 4.999895, 58739, 4421, 68511.7, 34325, 272931, 426616, 607122, 1037865, 0
181.045079, 1.044972, 22207, 4421, 56353.1, 33292, 226825, 383952, 573008, 1037865, 0
